"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Pete Orr","Nationals (AAA)","30","120","412","464","101","74","13","5","9","50","50","27","3","77","11","6","8","3","18","8",".245","2748"
"Matthew Brown","Angels (AAA)","26","107","388","447","95","55","27","0","13","57","69","45","1","92","8","4","2","7","5","5",".245","6384"
"Brendan Katin","Brewers (AAA)","26","127","459","506","112","49","33","6","24","67","92","35","1","164","7","4","1","7","2","0",".244","sa290612"
"Gregorio Petit","Athletics (AAA)","24","98","357","398","87","64","18","0","5","45","32","26","2","83","1","7","7","15","0","2",".244","3812"
"Justin Maxwell","Nationals (AAA)","25","111","384","448","93","65","10","5","13","68","42","54","2","136","6","1","3","10","35","8",".242","6827"
"Adam Pavkovich","Angels (AAA)","27","111","397","436","96","68","20","2","6","44","44","28","0","69","1","3","7","11","8","2",".242","sa225750"
"Gookie Dawkins","- - -","30","110","381","423","92","67","19","1","5","41","27","29","0","95","7","0","6","4","9","5",".241","316"
"Eider Torres","White Sox (AAA)","26","92","359","389","86","72","12","1","1","36","29","24","0","63","3","1","2","6","13","7",".240","2905"
"Shane Robinson","Cardinals (AAA)","24","100","345","393","82","56","18","3","5","46","40","28","0","42","8","4","8","14","16","3",".238","4249"
"Travis Denker","Red Sox (AAA)","23","117","400","460","95","64","25","1","5","43","43","48","1","85","4","6","2","15","3","2",".238","6155"
"J.P. Arencibia","Blue Jays (AAA)","23","116","466","500","110","56","32","1","21","67","75","26","0","114","6","2","0","11","0","1",".236","697"
"Chris Valaika","Reds (AAA)","23","95","366","392","86","59","20","1","6","32","36","16","1","76","4","5","1","7","1","0",".235","1165"
"Sean Kazmar","Padres (AAA)","24","114","366","411","86","67","14","0","5","40","46","37","2","59","2","3","3","12","8","2",".235","7349"
"J.J. Furmaniak","Phillies (AAA)","29","118","378","414","87","60","20","2","5","36","48","23","1","72","3","6","4","12","4","3",".230","3054"
"Gregor Blanco","Braves (AAA)","25","90","333","397","76","64","9","1","2","54","30","50","0","70","1","6","7","6","10","3",".228","3123"
"Paul McAnulty","- - -","28","110","381","439","86","49","23","1","13","40","54","50","1","95","4","4","0","7","0","1",".226","4409"
"Matt Macri","Twins (AAA)","27","114","365","412","82","43","25","3","11","57","42","35","0","85","4","5","3","7","5","5",".225","7548"
"Joe Koshansky","Brewers (AAA)","27","135","455","531","99","51","21","3","24","72","80","64","3","166","5","7","0","10","7","4",".218","7547"
"Mike Hessman","Tigers (AAA)","31","131","466","548","101","45","30","3","23","58","77","65","1","171","11","4","2","5","3","1",".217","1808"
"Travis Metcalf","- - -","26","125","440","494","95","63","19","2","11","48","54","38","3","95","5","6","5","10","4","1",".216","7364"
