"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Brandon Waring","Reds (A)","22","119","441","503","119","74","23","2","20","63","71","43","1","156","12","7","0","1","1","0",".270","sa389878"
"Jovanny Rosario","Dodgers (A)","23","127","482","524","130","102","17","10","1","68","35","30","1","94","2","1","9","11","39","14",".270","sa328617"
"Tim Pahuta","Nationals (A)","25","116","405","444","109","67","24","1","17","42","73","33","2","83","3","3","0","6","1","0",".269","sa293089"
"Efren Navarro","Angels (A)","22","94","331","385","89","69","18","0","2","37","45","42","1","66","4","6","2","2","7","7",".269","9854"
"Greg Dowling","Athletics (A)","24","132","510","558","137","89","33","0","15","51","71","30","1","86","8","7","3","18","1","1",".269","sa327390"
"Matt Rizzotti","Phillies (A)","22","102","365","437","98","61","25","2","10","49","49","65","2","97","3","4","0","5","1","1",".268","sa389429"
"David Lough","Royals (A)","22","126","488","543","131","83","21","11","16","76","62","35","2","70","10","2","8","10","12","11",".268","7215"
"Manuel Rodriguez","Blue Jays (A)","23","100","395","414","106","62","33","2","9","36","71","14","4","106","1","3","1","8","1","0",".268","sa254500"
"Yefri Carvajal","Padres (A)","19","121","456","488","122","90","27","1","4","54","55","25","0","100","1","4","2","9","4","2",".268","sa329501"
"Jordan Newton","Tigers (A)","22","95","363","397","97","59","21","10","7","48","48","20","0","97","5","5","4","3","8","2",".267","sa326765"
"Jim Gallagher","White Sox (A)","22","123","483","518","129","80","30","5","14","76","65","27","0","75","3","4","1","8","10","3",".267","sa389255"
"Julio Perez","Angels (A)","22","111","412","443","110","66","27","2","15","54","75","17","4","101","6","4","4","3","23","10",".267","sa328447"
"Jamar Walton","Royals (A)","22","98","357","383","95","66","20","2","7","43","49","21","1","86","1","4","0","2","6","5",".266","sa254344"
"Tyler Henson","Orioles (A)","20","127","502","541","133","94","25","3","11","71","62","25","2","121","9","2","3","12","20","3",".265","sa326736"
"Francisco Pena","Mets (A)","18","105","397","426","105","74","22","3","6","34","41","25","2","95","1","3","0","14","0","0",".264","8298"
"Garrett Baker","Giants (A)","24","119","435","486","115","75","24","7","9","60","63","33","1","89","11","4","2","12","11","5",".264","sa392356"
"Matthew Oxendine","Diamondbacks (A)","24","103","360","406","95","74","19","0","2","41","40","39","1","84","2","4","1","8","5","5",".264","sa327831"
"Clint Robinson","Royals (A)","23","106","379","424","100","58","22","3","17","53","64","37","2","67","4","3","1","5","0","3",".264","6908"
"Justin Baum","Padres (A)","22","119","440","500","116","79","23","5","9","76","70","49","1","111","5","5","1","17","3","2",".264","sa388958"
"Ryan Curry","Marlins (A)","23","116","459","506","121","83","26","2","10","69","47","38","0","78","5","1","3","8","6","2",".264","sa389866"
"Alfredo Silverio","Dodgers (A)","21","95","376","394","99","70","15","4","10","37","45","7","0","83","3","5","3","9","6","3",".263","sa392355"
"Angel Villalona","Giants (A)","17","123","464","500","122","76","29","0","17","64","64","18","3","118","16","2","0","8","1","2",".263","sa392874"
"Kyle Peter","Tigers (A)","22","103","396","465","104","92","11","1","0","64","34","57","0","80","5","5","2","6","42","12",".263","sa390687"
"Curt Rindal","Brewers (A)","24","112","393","440","103","69","24","1","9","48","58","31","1","77","10","6","0","5","3","6",".262","sa388951"
"Kevin Clark","Rockies (A)","22","112","397","464","104","63","23","1","17","60","76","54","1","136","3","9","1","3","22","6",".262","sa326760"
"Oscar Tejeda","Red Sox (A)","18","97","372","396","97","74","18","1","4","44","38","20","0","76","2","2","0","12","11","5",".261","sa392406"
"Andrew Romine","Angels (A)","22","126","461","543","120","93","21","4","2","79","34","55","2","76","9","6","12","5","62","18",".260","1159"
"Clay Fuller","Angels (A)","21","125","438","533","114","73","19","13","9","77","47","68","2","122","18","4","5","2","36","10",".260","sa326722"
"Kody Kaiser","Tigers (A)","23","110","392","446","102","61","24","6","11","55","57","45","2","114","4","0","5","9","30","6",".260","sa327774"
"Mark Dolenc","Twins (A)","23","119","389","451","101","81","9","8","3","77","41","41","0","120","6","2","13","7","31","8",".260","sa327853"
"Erik Huber","Pirates (A)","23","127","483","534","125","79","29","5","12","78","60","36","0","73","9","4","2","7","2","2",".259","sa388977"
"Kevin Ahrens","Blue Jays (A)","19","122","460","514","119","84","25","5","5","54","42","45","2","135","5","4","0","11","5","1",".259","sa389281"
"Zelous Wheeler","Brewers (A)","21","137","503","576","130","84","31","2","13","80","87","61","4","105","7","2","3","14","13","11",".258","8822"
