"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Hector Luna","Blue Jays (AAA)","28","116","429","466","120","84","24","1","11","67","43","30","1","73","5","2","0","4","6","2",".280","1874"
"Danny Sandoval","- - -","29","122","465","504","130","102","20","0","8","53","48","30","0","64","1","1","7","16","9","4",".280","2344"
"Brent Clevlen","Tigers (AAA)","24","126","476","540","133","81","23","7","22","75","82","54","5","166","6","3","1","14","7","2",".279","4863"
"Chris Roberson","Orioles (AAA)","28","123","437","485","122","100","14","2","6","52","57","38","3","64","3","4","3","8","20","17",".279","3577"
"Chip Ambres","Padres (AAA)","28","112","412","476","115","59","27","7","22","82","77","56","0","89","4","4","0","10","8","3",".279","2042"
"Garrett Jones","Twins (AAA)","27","138","527","587","147","88","33","3","23","82","92","50","5","98","1","9","0","11","9","2",".279","2714"
"Casey Rogowski","Athletics (AAA)","27","117","415","473","115","76","22","3","14","67","64","52","2","111","1","3","2","9","16","3",".277","sa198415"
"Hernan Iribarren","Brewers (AAA)","24","99","361","397","100","80","17","3","0","47","30","28","0","61","1","2","5","6","19","8",".277","4177"
"Jerry Owens","White Sox (AAA)","27","89","351","398","97","85","11","0","1","39","21","38","3","56","2","5","2","4","30","13",".276","6002"
"Don Kelly","Diamondbacks (AAA)","28","124","436","479","120","83","24","5","8","61","55","32","1","44","2","5","4","3","2","1",".275","2216"
"Koyie Hill","Cubs (AAA)","29","113","364","412","100","57","24","2","17","56","64","40","1","77","3","2","3","6","3","2",".275","1829"
"Tony Gwynn Jr.","Brewers (AAA)","25","93","375","412","103","89","9","3","2","47","26","29","1","54","2","2","4","9","20","6",".275","6141"
"Dallas McPherson","Marlins (AAA)","27","127","448","530","123","56","22","3","42","94","98","76","3","168","2","4","0","6","14","6",".275","2194"
"Luis Terrero","Orioles (AAA)","28","129","497","555","136","84","31","8","13","73","88","43","3","118","9","5","1","12","13","11",".274","1765"
"Jarrett Hoffpauir","Cardinals (AAA)","25","121","410","475","112","76","31","1","4","48","45","49","3","45","4","6","6","12","2","4",".273","7554"
"Andy Green","- - -","30","123","440","527","120","78","25","4","13","78","47","68","1","79","7","5","7","5","7","4",".273","2991"
"Adam Heether","Brewers (AAA)","26","124","390","471","106","62","31","2","11","70","51","64","3","89","10","6","1","8","11","1",".272","sa226130"
"Edwin Maysonet","Astros (AAA)","26","117","406","466","110","79","24","1","6","59","34","44","0","70","4","6","6","5","4","3",".271","5735"
"Mike Hessman","Tigers (AAA)","30","108","399","473","108","49","20","5","34","83","72","59","3","140","10","5","0","2","3","3",".271","1808"
"Jason Pridie","Twins (AAA)","24","138","559","603","151","101","21","16","13","84","61","30","2","152","1","6","7","8","25","9",".270","4611"
"Freddy Guzman","Tigers (AAA)","27","101","397","441","107","79","16","9","3","74","41","35","0","42","2","4","3","8","56","6",".270","2162"
"Darnell McDonald","Twins (AAA)","29","93","369","410","99","59","25","4","11","53","57","36","0","81","2","3","0","6","19","3",".268","1867"
"Jai Miller","Marlins (AAA)","23","117","434","498","116","70","22","5","19","67","56","52","3","133","5","5","2","5","20","6",".267","5715"
"Jason Jaramillo","Phillies (AAA)","25","115","421","473","112","84","20","0","8","48","39","42","4","82","6","2","2","12","1","1",".266","8358"
"Larry Broadway","Nationals (AAA)","27","130","429","492","114","73","29","3","9","56","55","58","8","105","2","3","0","8","3","8",".266","sa201812"
"Jon Weber","Rays (AAA)","30","108","389","439","103","62","24","4","13","58","51","40","2","99","3","5","2","4","11","6",".265","sa198828"
"Rich Thompson","Phillies (AAA)","29","97","352","405","93","66","18","5","4","41","42","39","1","72","4","3","7","4","25","2",".264","1883"
"Dee Brown","Angels (AAA)","30","130","485","559","128","84","32","0","12","70","74","61","1","66","6","6","0","15","10","2",".264","sa3001095"
"John Mayberry Jr.","Rangers (AAA)","24","114","437","475","115","62","30","7","16","49","58","30","2","85","5","2","1","9","6","2",".263","3390"
"Jonathan Van Every","Red Sox (AAA)","28","119","380","442","100","56","15","3","26","84","70","54","1","157","4","1","3","4","6","1",".263","3409"
"Fernando Cortez","White Sox (AAA)","26","104","355","381","93","75","12","2","4","27","35","16","0","33","2","2","6","9","10","5",".262","3634"
"Josh Wilson","- - -","27","124","405","459","106","74","24","1","7","44","42","29","1","71","14","3","8","8","13","5",".262","2102"
"Elliot Johnson","Rays (AAA)","24","107","387","427","101","61","26","5","9","49","50","33","1","104","2","0","5","6","15","3",".261","4751"
"Mike Costanzo","Orioles (AAA)","24","129","483","538","126","85","28","2","11","56","63","52","4","159","1","2","0","7","2","2",".261","3533"
"Oswaldo Navarro","Mariners (AAA)","23","104","357","395","93","70","21","1","1","47","31","31","0","71","4","1","2","16","2","3",".261","3868"
"Brandon Jones","Braves (AAA)","24","95","346","396","90","57","24","1","8","44","52","46","3","76","0","4","0","9","9","6",".260","6987"
"Vinny Rottino","Brewers (AAA)","28","118","431","478","112","72","30","3","7","59","55","31","0","72","6","8","1","16","9","4",".260","5202"
"Danny Richar","- - -","25","91","362","400","94","59","21","3","11","51","55","31","1","71","3","3","1","4","14","5",".260","3767"
"Royce Huffman","White Sox (AAA)","31","106","370","421","96","60","26","0","10","46","43","40","0","92","7","4","0","13","4","4",".259","sa198113"
"Russ Adams","Blue Jays (AAA)","27","127","429","494","111","75","19","2","15","63","63","54","6","91","3","6","1","8","11","2",".259","4519"
"Wayne Lydon","Blue Jays (AAA)","27","130","499","573","129","106","19","3","1","71","42","58","2","84","3","5","8","12","43","9",".259","sa198276"
"Erick Almonte","Tigers (AAA)","30","113","395","454","102","64","27","1","10","50","50","55","1","71","1","2","1","11","3","2",".258","808"
"Kevin Barker","Reds (AAA)","32","114","399","468","103","60","22","0","21","73","77","55","7","98","4","10","0","9","0","1",".258","1019"
"Kevin Melillo","- - -","26","106","372","423","96","58","20","4","14","42","53","47","0","90","1","2","1","6","3","1",".258","8278"
"Nick Gorneault","Astros (AAA)","29","120","370","421","95","57","18","1","19","59","56","46","2","96","3","1","1","9","8","7",".257","3528"
"Craig Wilson","- - -","31","117","391","458","100","61","17","0","22","57","67","44","1","111","19","1","3","7","3","2",".256","1015"
"Cody Ransom","Yankees (AAA)","32","116","423","481","108","59","24","3","22","69","71","50","0","115","4","2","2","9","9","5",".255","1126"
"Doug Bernier","Rockies (AAA)","28","110","337","418","86","63","10","4","9","58","42","64","3","79","8","4","5","10","1","2",".255","4518"
"Nate Gold","Rangers (AAA)","28","127","475","542","121","66","29","3","23","73","90","61","1","121","2","4","0","11","0","1",".255","sa202232"
"Jason Smith","Royals (AAA)","30","110","423","459","107","60","20","7","20","52","62","23","0","128","1","6","6","4","3","1",".253","1227"
"Ray Olmedo","Nationals (AAA)","27","108","353","385","89","68","15","2","4","38","32","19","4","39","2","3","8","7","10","11",".252","1718"
"Justin Leone","Giants (AAA)","31","105","358","433","90","50","22","1","17","63","64","66","1","96","1","8","0","7","16","6",".251","2157"
"Steve Pearce","Pirates (AAA)","25","103","386","433","97","58","26","1","12","47","60","32","2","75","5","6","4","8","10","4",".251","9957"
"Jon Knott","- - -","29","128","462","524","116","64","30","2","20","61","68","52","1","111","7","2","1","14","2","1",".251","3942"
"Colby Rasmus","Cardinals (AAA)","21","90","331","387","83","57","15","0","11","56","36","49","3","72","1","3","3","7","15","3",".251","9893"
"Scott Thorman","Braves (AAA)","26","101","387","411","97","54","22","2","19","47","56","19","4","83","0","4","1","8","7","1",".251","2238"
"Keith Ginter","Red Sox (AAA)","32","123","444","520","111","83","21","0","7","49","54","55","2","91","14","6","1","13","5","1",".250","1500"
"Jeff Larish","Tigers (AAA)","25","103","384","440","96","53","20","2","21","49","64","50","4","109","4","2","0","13","0","1",".250","5128"
"Oscar Robles","- - -","32","107","362","405","90","73","13","0","4","34","48","40","0","39","0","2","1","10","0","0",".249","8975"
"Joel Guzman","Rays (AAA)","23","116","436","464","108","65","23","0","20","52","72","19","0","103","1","8","0","8","1","2",".248","3728"
"Wilkin Castillo","- - -","24","115","428","468","106","80","18","2","6","42","47","25","2","59","6","3","6","10","5","3",".248","5124"
"Mike Rouse","- - -","28","113","393","431","97","74","18","0","5","42","38","19","0","85","5","2","12","7","7","3",".247","1893"
"Brad Snyder","Indians (AAA)","26","115","411","446","101","56","28","5","12","52","61","27","2","123","4","3","1","3","7","3",".246","6052"
"Clay Timpner","Giants (AAA)","25","119","436","480","107","82","19","3","3","64","46","33","1","61","3","3","5","8","13","6",".245","7333"
"Matt Kata","Pirates (AAA)","30","118","396","433","97","65","18","6","8","50","45","22","3","65","5","6","4","4","18","6",".245","1741"
"Brad Eldred","White Sox (AAA)","27","114","427","469","104","46","22","1","35","62","100","28","5","144","11","3","0","4","3","3",".244","4328"
"George Kottaras","Red Sox (AAA)","25","107","395","462","96","56","18","0","22","63","65","64","3","110","1","2","0","6","0","0",".243","5506"
"Brooks Conrad","Athletics (AAA)","28","117","465","517","113","51","29","5","28","86","91","46","1","127","2","2","2","5","4","1",".243","3664"
"Chris Lubanski","Royals (AAA)","23","116","393","438","95","52","20","8","15","51","54","38","2","130","0","3","4","4","5","1",".242","sa243989"
"Neil Walker","Pirates (AAA)","22","133","505","550","122","74","25","7","16","69","80","29","0","102","2","10","4","11","10","6",".242","7539"
"Sean Barker","Rockies (AAA)","28","115","362","395","87","55","26","4","2","56","48","23","0","103","5","2","3","4","12","4",".240","4617"
"Jason Ellison","Rangers (AAA)","30","120","477","556","114","87","21","4","2","65","45","63","1","77","8","4","4","14","14","10",".239","1704"
"Pedro Lopez","Blue Jays (AAA)","24","104","339","385","80","65","12","1","2","38","27","33","0","63","2","2","9","15","4","1",".236","3207"
