"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Rene Tosoni","Brewers (AA)","26","497","7.8 %","16.7 %","0.47",".238",".304",".359",".663",".121","3.2",".268","-1.7","50","-3.2",".309","94","7099"
"Brian Cavazos-Galvez","Dodgers (AA)","26","403","3.7 %","12.9 %","0.29",".263",".303",".366",".670",".103","4.7",".288","0.4","40","-2.6",".309","94","sa501665"
"Mike Freeman","Diamondbacks (AA)","25","536","12.1 %","15.7 %","0.77",".247",".345",".297",".643",".051","4.8",".297","1.4","53","-3.7",".308","94","11241"
"Wilfredo Tovar","Mets (AA)","21","486","6.8 %","10.1 %","0.67",".263",".323",".340",".663",".077","5.8",".287","-0.6","50","-7.7",".308","87","10416"
"J.T. Realmuto","Marlins (AA)","22","416","8.7 %","16.3 %","0.53",".239",".310",".353",".663",".114","5.4",".275","1.1","41","-3.0",".308","93","11739"
"Albert Cartwright","Phillies (AA)","25","546","5.5 %","20.3 %","0.27",".254",".314",".350",".663",".096","7.4",".310","1.3","55","-9.6",".306","85","sa397967"
"Chad Oberacker","Athletics (AA)","24","506","8.1 %","20.0 %","0.41",".237",".305",".388",".694",".152","7.6",".288","2.8","53","-4.4",".306","92","sa549447"
"Zach Collier","Phillies (AA)","22","513","9.2 %","25.1 %","0.36",".222",".310",".348",".658",".126","7.1",".293","0.8","52","-9.1",".306","85","sa454396"
"Tony Thomas","Red Sox (AA)","26","465","7.1 %","24.3 %","0.29",".220",".287",".392",".679",".172","7.7",".271","2.3","47","-8.3",".306","85","sa389692"
"Giovanny Urshela","Indians (AA)","21","466","3.0 %","10.3 %","0.29",".270",".292",".384",".676",".115","2.6",".286","-0.3","47","-8.5",".305","85","10681"
"Orlando Calixte","Royals (AA)","21","536","7.8 %","24.4 %","0.32",".250",".312",".368",".680",".118","5.2",".325","-1.7","56","-5.0",".305","92","11905"
"Todd Glaesmann","Rays (AA)","22","529","4.9 %","20.8 %","0.24",".240",".289",".378",".667",".138","4.7",".285","0.0","52","-4.9",".305","91","sa501261"
"Nick Shaw","Brewers (AA)","24","530","11.9 %","13.4 %","0.89",".253",".344",".298",".641",".044","3.7",".292","-0.5","52","-5.0",".305","91","sa549641"
"Shannon Wilkerson","Red Sox (AA)","24","538","9.9 %","18.8 %","0.52",".237",".318",".338",".655",".101","7.1",".290","-0.9","54","-10.0",".305","84","sa501599"
"Rick Hague","Nationals (AA)","24","479","6.9 %","21.1 %","0.33",".245",".301",".362",".663",".117","4.4",".300","-0.8","47","-9.3",".304","84","sa548193"
"Wade Gaynor","Tigers (AA)","25","528","7.0 %","29.0 %","0.24",".226",".290",".375",".666",".149","5.8",".303","1.0","52","-10.5",".303","83","sa501211"
"Darwin Perez","Athletics (AA)","23","462","10.8 %","22.3 %","0.49",".237",".326",".333",".659",".097","7.0",".309","2.0","47","-5.1",".303","90","sa392746"
"Jarek Cunningham","Pirates (AA)","23","515","5.8 %","24.7 %","0.24",".216",".275",".393",".668",".177","5.4",".252","-0.2","50","-10.9",".302","82","sa455364"
"Enrique Hernandez","Astros (AA)","21","483","7.0 %","14.5 %","0.49",".236",".297",".375",".672",".140","3.9",".253","-0.3","49","-6.1",".301","89","10472"
"Ronny Rodriguez","Indians (AA)","21","498","3.2 %","15.3 %","0.21",".265",".291",".376",".667",".111","6.6",".304","1.0","48","-11.0",".301","81","sa595953"
"Garabez Rosa","Orioles (AA)","23","477","1.7 %","16.1 %","0.10",".276",".291",".374",".665",".098","5.2",".320","-0.6","46","-10.9",".300","81","sa455978"
"Tyler Saladino","White Sox (AA)","23","493","10.3 %","17.4 %","0.59",".229",".316",".314",".630",".085","5.9",".271","2.1","46","-6.9",".299","87","10807"
"Devin Lohman","Reds (AA)","24","547","6.9 %","15.4 %","0.45",".236",".304",".331",".635",".095","3.5",".268","-1.1","51","-7.7",".299","87","sa526331"
"Jayson Langfels","Rockies (AA)","24","427","7.7 %","30.7 %","0.25",".218",".296",".362",".657",".144","4.1",".289","-0.7","42","-6.3",".298","87","sa546633"
"Teodoro Martinez","Rangers (AA)","21","470","3.8 %","14.5 %","0.26",".248",".283",".379",".662",".131","5.1",".263","0.5","46","-7.7",".296","86","sa505946"
"Jake Blackwood","Padres (AA)","27","505","4.4 %","15.4 %","0.28",".259",".295",".358",".653",".098","2.9",".296","-0.6","48","-9.8",".292","83","sa327899"
"Keenyn Walker","White Sox (AA)","22","550","12.5 %","27.8 %","0.45",".201",".319",".277",".596",".076","7.9",".294","1.4","48","-11.1",".290","81","sa501943"
"Robby Price","Rays (AA)","25","491","9.8 %","8.8 %","1.12",".226",".318",".286",".604",".060","1.7",".240","-1.2","42","-10.2",".290","81","sa547109"
"Travis Witherspoon","Angels (AA)","24","514","10.7 %","23.0 %","0.47",".214",".299",".342",".641",".127","6.3",".263","1.9","47","-11.3",".289","81","sa501690"
"Miguel Rojas","Dodgers (AA)","24","478","8.4 %","10.3 %","0.82",".233",".303",".307",".610",".074","4.4",".253","0.0","41","-10.2",".289","80","7802"
"Nick Ahmed","Diamondbacks (AA)","23","538","6.1 %","13.4 %","0.46",".236",".288",".324",".613",".088","6.8",".266","2.1","44","-13.0",".285","77","12147"
"Vinnie Catricala","- - -","24","449","6.5 %","21.2 %","0.31",".235",".292",".328",".621",".094","3.3",".284","0.0","38","-11.4",".285","77","sa501575"
"Gabriel Noriega","Mariners (AA)","22","402","3.5 %","17.9 %","0.19",".256",".283",".334",".617",".078","5.5",".310","0.3","33","-10.1",".284","77","sa455932"
"Ryan Strausborger","Rangers (AA)","25","518","7.3 %","19.7 %","0.37",".217",".286",".347",".633",".130","6.8",".257","1.9","45","-13.8",".283","77","10937"
"Odubel Herrera","Rangers (AA)","21","412","4.1 %","16.3 %","0.25",".257",".289",".339",".628",".082","6.6",".304","0.9","35","-11.5",".281","75","11476"
"Destin Hood","Nationals (AA)","23","429","6.3 %","27.0 %","0.23",".224",".278",".327",".605",".102","5.0",".303","-2.0","34","-17.2",".278","66","9887"
"Alonzo Harris","Mets (AA)","24","395","8.6 %","22.5 %","0.38",".218",".285",".305",".590",".088","5.9",".275","1.2","30","-16.9",".274","64","sa455964"
"Edgar Duran","Phillies (AA)","22","450","4.9 %","20.2 %","0.24",".225",".277",".311",".588",".086","4.8",".276","-0.2","33","-20.4",".271","62","sa503253"
"James Robbins","Tigers (AA)","22","494","3.2 %","34.6 %","0.09",".224",".261",".325",".585",".100","2.7",".338","-0.7","35","-23.3",".268","60","sa502680"
"Kaleb Cowart","Angels (AA)","21","546","7.0 %","22.7 %","0.31",".221",".279",".301",".580",".080","4.4",".280","0.6","40","-22.0",".266","65","11494"
"Jio Mier","Astros (AA)","22","416","11.1 %","23.3 %","0.47",".194",".293",".265",".558",".070","3.6",".252","-1.5","30","-17.0",".265","64","sa500732"
"Leon Landry","Mariners (AA)","23","460","5.7 %","15.4 %","0.37",".216",".262",".303",".565",".088","5.7",".245","1.4","31","-18.3",".264","63","sa526198"
"Delta Cleary Jr.","Rockies (AA)","23","452","7.3 %","20.6 %","0.35",".207",".274",".259",".533",".053","6.0",".262","0.7","27","-24.8",".247","52","sa463884"
"Hanser Alberto","Rangers (AA)","20","384","4.2 %","10.7 %","0.39",".213",".253",".287",".540",".073","6.3",".227","0.5","22","-22.1",".243","49","11902"
"Hector Gomez","Brewers (AA)","25","406","4.4 %","19.0 %","0.23",".196",".238",".255",".494",".060","3.5",".241","-2.5","18","-25.4",".233","41","2264"
