"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Anthony Webster","Rangers (AA)","24","105","411","444","114","78","25","3","8","66","39","21","1","55","6","3","3","9","30","11",".277","sa200593"
"Steven Murphy","Rangers (AA)","23","130","488","529","135","88","33","3","11","70","66","28","0","103","5","6","2","8","5","4",".277","sa292368"
"David Smith","Blue Jays (AA)","26","129","463","530","128","68","35","1","24","85","70","53","0","105","9","4","1","10","4","5",".276","sa201597"
"Vasili Spanos","Athletics (AA)","26","100","392","423","108","70","25","3","10","51","52","17","3","69","13","1","0","18","4","2",".276","sa225873"
"Colby Rasmus","Cardinals (AA)","20","128","472","556","130","61","37","3","29","93","72","70","0","108","12","2","0","2","18","3",".275","9893"
"Brooks Badeaux","Devil Rays (AA)","30","103","396","445","109","86","20","2","1","53","49","35","2","51","3","3","8","8","1","4",".275","sa203920"
"Manny Mayorson","Blue Jays (AA)","24","116","452","501","124","96","25","2","1","55","28","40","2","36","3","1","5","14","7","7",".274","sa199056"
"Trevor Plouffe","Twins (AA)","21","126","497","555","136","88","37","2","9","75","50","38","0","89","2","3","15","11","12","7",".274","7462"
"Tim Brown","Padres (AA)","24","109","351","402","96","67","16","0","13","56","50","40","0","65","7","3","1","12","0","0",".274","sa200479"
"Casey McGehee","Cubs (AA)","24","105","384","429","105","68","26","2","9","53","54","40","5","73","0","5","0","15","1","2",".273","6086"
"Felix Molina","Twins (AA)","24","117","426","472","116","85","20","3","8","51","45","35","3","70","3","4","4","8","7","6",".272","sa200157"
"Jason Bowers","Pirates (AA)","29","113","426","488","116","77","27","4","8","56","51","51","1","63","5","1","5","9","16","6",".272","sa212911"
"Gabriel Martinez","Devil Rays (AA)","24","105","386","428","105","74","15","1","15","43","82","31","2","100","4","5","2","10","0","1",".272","sa201781"
"Aaron Rifkin","Rockies (AA)","28","123","453","502","123","72","36","0","15","61","76","38","3","119","8","3","0","11","3","1",".272","sa200599"
