"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Tucker Neuhaus","Brewers (A)","20","104","369","413","92","65","19","4","4","32","40","33","0","77","1","7","3","6","0","2",".249","sa737623"
"Rony Cabrera","Marlins (A)","19","108","427","455","106","81","19","2","4","46","26","15","0","81","3","2","8","6","7","2",".248","sa736836"
"Thomas Milone","Rays (A)","20","119","472","526","117","92","17","5","3","64","28","39","1","93","8","2","5","6","26","14",".248","sa737640"
"Nick Thompson","Cardinals (A)","22","117","420","486","104","70","19","3","12","49","59","52","1","115","11","2","1","9","0","1",".248","sa829150"
"Chase Simpson","Pirates (A)","23","117","389","463","96","61","20","4","11","65","68","63","0","112","3","5","3","7","7","1",".247","sa829341"
"Joe Munoz","Diamondbacks (A)","21","104","349","406","86","62","14","3","7","48","38","45","0","106","5","5","2","7","7","4",".246","sa657976"
"Austin Aune","Yankees (A)","21","112","415","444","102","55","29","10","8","48","49","22","0","167","2","2","3","10","2","6",".246","sa657969"
"Luis Gonzalez","Reds (A)","20","124","497","532","122","99","18","3","2","55","50","14","1","82","5","7","9","15","7","4",".245","sa736875"
"Zac Shepherd","Tigers (A)","19","114","383","443","94","70","17","2","5","48","51","47","1","117","3","7","3","3","4","3",".245","sa830224"
"Jordan Edgerton","Braves (A)","21","107","416","450","102","80","17","2","3","34","57","26","2","85","2","4","2","11","7","6",".245","sa829189"
"Sandber Pimentel","Athletics (A)","20","117","411","471","100","70","17","0","13","50","41","50","0","104","8","2","0","13","1","2",".243","sa657209"
"Franchy Cordero","Padres (A)","20","126","481","524","117","98","13","1","5","59","34","31","2","121","4","3","5","5","22","11",".243","14567"
"Francisco Mejia","Indians (A)","19","109","391","446","95","73","13","0","9","45","53","38","1","78","10","2","5","7","4","1",".243","16403"
"Braxton Davidson","Braves (A)","19","124","401","494","97","64","23","0","10","51","45","84","3","135","7","2","0","5","1","6",".242","sa828679"
"Joseph Monge","Red Sox (A)","20","109","373","412","90","62","23","3","2","46","37","21","0","89","4","3","10","7","22","4",".241","sa738151"
"Max Kuhn","Athletics (A)","22","131","481","543","116","74","29","3","10","53","59","55","1","106","3","4","0","9","1","1",".241","sa599290"
"Austen Smith","Marlins (A)","23","113","390","455","94","55","21","1","17","52","50","58","0","123","7","0","0","10","1","1",".241","sa550329"
"Natanael Delgado","Angels (A)","19","108","411","438","99","69","19","5","6","32","46","19","0","104","3","5","0","10","2","2",".241","sa739558"
"Cristian Toribio","Rays (A)","20","111","372","395","89","62","15","4","8","38","39","15","0","79","2","3","3","4","12","8",".239","sa657281"
"Avain Rachal","Reds (A)","21","110","389","445","93","69","16","4","4","47","39","43","2","101","11","0","2","12","14","6",".239","sa658535"
"Elier Leyva","Orioles (A)","24","118","407","456","97","70","22","2","3","42","43","42","0","116","3","4","0","8","1","2",".238","sa869554"
"Elvis Rubio","Brewers (A)","20","124","459","506","109","78","27","0","4","42","38","29","0","95","14","3","1","10","2","4",".237","sa597185"
"Narciso Crook","Reds (A)","19","105","381","402","90","57","19","5","9","42","47","15","0","103","3","1","2","4","13","3",".236","sa738300"
"Tito Polo","Pirates (A)","20","102","360","414","85","60","20","2","3","51","26","28","0","77","13","1","12","3","46","13",".236","sa657705"
"Yairo Munoz","Athletics (A)","20","97","369","400","87","61","14","3","9","48","48","22","0","62","2","6","1","19","10","2",".236","sa657210"
