Name,PA,BB%,K%,AVG,OBP,SLG,OPS
A.J. Kirby-Jones,386.000,14.500,26.200,0.240,0.360,0.415,0.775
Aaron Altherr,471.000,8.100,21.700,0.252,0.319,0.402,0.722
Aaron Baker,531.000,9.800,21.700,0.253,0.340,0.453,0.793
Aaron Cunningham,402.000,8.500,17.900,0.305,0.386,0.496,0.882
Aaron Hicks,518.000,17.000,21.600,0.279,0.401,0.428,0.829
Aaron Knapp,509.000,11.600,27.900,0.218,0.317,0.302,0.619
Aaron Shipman,427.000,14.100,20.100,0.206,0.319,0.261,0.580
Aaron Westlake,518.000,9.100,20.300,0.249,0.320,0.391,0.711
Aaron Whitefield,460.000,6.700,25.700,0.262,0.318,0.414,0.732
Abraham Almonte,489.562,8.363,18.571,0.254,0.318,0.375,0.693
Adam Abraham,417.320,8.447,16.106,0.261,0.332,0.411,0.743
Adam Brett Walker,553.000,5.600,20.800,0.278,0.319,0.526,0.844
Adam Coe,419.000,3.600,22.900,0.255,0.292,0.385,0.677
Adam Davis,583.000,12.700,19.400,0.266,0.367,0.380,0.747
Adam Duvall,513.000,11.500,19.100,0.285,0.385,0.527,0.912
Adam Godwin,438.000,6.400,12.100,0.269,0.332,0.347,0.679
Adam White,540.000,11.500,21.500,0.215,0.312,0.290,0.602
Aderlin Rodriguez,554.000,5.200,19.100,0.221,0.265,0.372,0.637
Adrian Cardenas,565.000,8.300,14.200,0.295,0.354,0.417,0.770
Adrian Marin,422.000,5.500,21.300,0.265,0.311,0.356,0.667
Adrian Ortiz,446.000,3.400,15.200,0.308,0.334,0.386,0.720
Adrian Rondon,438.000,7.500,29.500,0.221,0.286,0.330,0.616
Adrian Sanchez,577.000,2.900,12.300,0.262,0.295,0.353,0.648
Adron Chambers,384.000,8.600,17.200,0.238,0.322,0.345,0.667
Albert Baur,442.000,9.300,19.000,0.298,0.367,0.439,0.805
Albert Cartwright,404.000,8.900,22.800,0.236,0.330,0.368,0.698
Albert Cordero,418.000,3.600,16.500,0.286,0.324,0.382,0.705
Alberth Martinez,415.000,9.400,16.400,0.277,0.360,0.478,0.837
Alberto Diaz,473.000,5.900,23.000,0.232,0.288,0.321,0.609
Alberto Garcia,408.000,5.600,18.600,0.269,0.320,0.379,0.699
Alberto Mineo,405.000,11.600,16.300,0.278,0.374,0.358,0.732
Aldrem Corredor,506.000,9.300,21.500,0.261,0.335,0.379,0.713
Alejandro Juvier,428.000,5.600,26.600,0.241,0.291,0.315,0.606
Alen Hanson,558.000,9.900,18.800,0.309,0.381,0.528,0.909
Alex De Leon,444.000,9.900,27.500,0.212,0.293,0.358,0.652
Alex Glenn,420.000,11.400,20.200,0.257,0.352,0.433,0.785
Alex Jackson,381.000,8.900,27.000,0.243,0.332,0.408,0.740
Alex Lavisky,387.000,8.800,24.500,0.246,0.314,0.404,0.718
Alex Liddi,474.569,8.262,25.153,0.242,0.311,0.372,0.683
Alex Monsalve,496.000,6.300,19.400,0.264,0.313,0.356,0.668
Alex Murphy,516.000,9.500,26.700,0.252,0.335,0.423,0.759
Alex Presley,553.000,8.100,19.500,0.293,0.348,0.436,0.784
Alex Santana,443.000,8.100,31.600,0.241,0.307,0.315,0.623
Alex Valdez,439.000,7.700,19.100,0.264,0.321,0.431,0.752
Alex Verdugo,444.000,3.800,11.900,0.295,0.325,0.394,0.719
Alexander Simon,466.000,5.400,23.600,0.281,0.323,0.374,0.698
Alexi Amarista,557.000,9.000,11.000,0.319,0.390,0.468,0.857
Alfredo Escalera,475.000,3.800,23.400,0.221,0.267,0.340,0.607
Alfredo Marte,506.000,4.900,15.400,0.251,0.294,0.364,0.658
Alfredo Rodriguez,465.000,10.800,11.200,0.270,0.363,0.324,0.687
Alfredo Silverio,467.574,3.625,20.416,0.275,0.302,0.434,0.737
Allan Dykstra,537.000,19.400,19.200,0.226,0.397,0.375,0.771
Alonzo Harris,408.677,5.877,19.005,0.247,0.299,0.350,0.649
Amalani Fukofuka,445.000,6.500,30.600,0.200,0.262,0.272,0.534
Anderson Feliz,502.000,10.400,25.700,0.217,0.305,0.333,0.639
Anderson Franco,456.000,9.000,21.900,0.201,0.272,0.348,0.620
Anderson Tejeda,446.000,8.100,29.600,0.247,0.309,0.411,0.721
Andres Gimenez,399.000,7.000,15.300,0.265,0.346,0.349,0.695
Andrew Cain,388.902,9.016,27.900,0.229,0.307,0.398,0.705
Andrew Clark,430.000,14.400,14.400,0.313,0.422,0.482,0.904
Andrew Davis,481.000,6.900,16.000,0.253,0.303,0.351,0.654
Andrew Guillotte,508.000,7.700,15.200,0.253,0.322,0.352,0.674
Andrew Lambo,518.000,7.900,21.200,0.288,0.346,0.462,0.807
Andrew Lefave,498.000,11.800,11.800,0.345,0.432,0.525,0.957
Andrew McCutchen,503.000,8.300,18.100,0.291,0.356,0.446,0.802
Andrew Pullin,544.000,7.500,17.500,0.270,0.332,0.374,0.706
Andrew Romine,543.000,10.100,14.000,0.260,0.347,0.336,0.683
Andrew Toles,552.000,4.000,19.000,0.326,0.359,0.466,0.826
Andrew Velazquez,623.000,10.000,21.800,0.290,0.367,0.428,0.796
Andy D'Alessio,382.000,8.900,22.500,0.300,0.361,0.443,0.804
Andy Jenkins,535.000,7.700,16.600,0.288,0.353,0.382,0.735
Andy Leer,388.000,9.500,26.500,0.215,0.298,0.290,0.588
Andy Parrino,487.000,14.600,26.100,0.252,0.366,0.353,0.720
Andy Vasquez,444.000,2.700,17.600,0.278,0.304,0.412,0.717
Andy Workman,478.000,5.900,15.300,0.278,0.329,0.423,0.752
Aneury Tavarez,516.000,4.100,27.100,0.257,0.295,0.388,0.683
Anfernee Grier,547.000,10.600,20.800,0.251,0.340,0.331,0.671
Anfernee Seymour,537.000,4.800,22.000,0.257,0.296,0.303,0.599
Angel Castillo,453.000,6.400,24.500,0.242,0.315,0.389,0.704
Angel Franco,437.000,8.200,9.200,0.249,0.316,0.348,0.664
Angel Morales,418.000,7.200,24.900,0.266,0.329,0.455,0.784
Angel Ortega,421.000,3.100,20.900,0.231,0.258,0.329,0.587
Angel Reyes,496.000,7.300,19.600,0.252,0.310,0.351,0.661
Angel Rosa,429.000,5.800,24.000,0.246,0.300,0.372,0.672
Angel Salome,468.000,8.300,13.500,0.292,0.349,0.447,0.796
Angel Villalona,500.000,3.600,23.600,0.263,0.312,0.435,0.747
Angelo Castellano,496.000,10.300,16.300,0.245,0.327,0.342,0.668
Angelo Mora,455.000,8.600,19.100,0.214,0.283,0.290,0.573
Angelo Songco,570.000,8.900,16.000,0.274,0.344,0.446,0.790
Angelys Nina,440.000,3.400,13.000,0.272,0.299,0.353,0.652
Anthony Aliotti,587.000,15.700,22.500,0.278,0.397,0.379,0.776
Anthony Contreras,500.000,4.800,12.200,0.296,0.331,0.355,0.687
Anthony Garcia,444.000,7.700,24.100,0.280,0.354,0.525,0.879
Anthony Giansanti,493.000,6.900,16.200,0.232,0.294,0.372,0.665
Anthony Gomez,495.000,4.600,9.100,0.271,0.308,0.340,0.648
Anthony Gose,573.000,6.100,19.200,0.259,0.323,0.353,0.676
Anthony Hatch,537.000,9.500,13.000,0.294,0.363,0.463,0.827
Anthony Hewitt,472.619,3.156,32.476,0.221,0.262,0.367,0.629
Anthony Jackson,529.000,9.600,21.000,0.244,0.323,0.379,0.702
Anthony Martinez,468.000,8.100,24.100,0.258,0.316,0.404,0.720
Anthony Miller,383.000,8.400,38.600,0.195,0.279,0.342,0.622
Anthony Pereira,518.000,7.700,16.200,0.251,0.315,0.362,0.676
Anthony Phillips,442.000,9.000,19.700,0.214,0.300,0.305,0.605
Anthony Recker,453.000,9.300,25.400,0.287,0.358,0.464,0.822
Anthony Scelfo,540.000,7.600,19.600,0.244,0.307,0.351,0.659
Antoan Richardson,493.000,11.000,14.800,0.292,0.381,0.366,0.747
Antonio Rodriguez,501.000,3.800,20.800,0.237,0.268,0.320,0.588
Arby Fields,382.000,14.900,18.100,0.262,0.379,0.331,0.711
Archie Gilbert,394.000,9.400,9.900,0.289,0.372,0.453,0.825
Argenis Diaz,447.000,8.100,20.600,0.279,0.342,0.380,0.723
Argenis Martinez,388.000,12.400,20.400,0.219,0.324,0.251,0.575
Arismendy Alcantara,390.000,4.100,19.500,0.271,0.303,0.352,0.655
Armando Araiza,385.000,9.100,26.200,0.214,0.292,0.316,0.608
Art Charles,513.000,11.300,24.400,0.251,0.339,0.412,0.751
Arturo Rivas,390.000,10.000,21.000,0.257,0.341,0.379,0.720
Arturo Rodriguez,522.000,6.300,12.500,0.275,0.326,0.433,0.758
Audy Ciriaco,452.142,3.753,16.165,0.232,0.261,0.327,0.588
Austen Smith,455.000,12.700,27.000,0.241,0.349,0.431,0.780
Austin Allen,453.000,6.400,15.200,0.320,0.364,0.425,0.790
Austin Aune,444.000,5.000,37.600,0.246,0.286,0.422,0.707
Austin Barnes,566.000,10.400,10.800,0.318,0.401,0.481,0.882
Austin Dean,449.000,8.500,16.000,0.308,0.371,0.444,0.815
Austin Elkins,441.000,15.200,15.900,0.234,0.368,0.350,0.718
Austin Jackson,611.000,10.000,24.700,0.260,0.340,0.346,0.686
Austin Krum,528.000,10.400,17.400,0.272,0.356,0.397,0.753
Austin McClune,485.000,7.400,17.900,0.207,0.274,0.282,0.556
Austin Riley,543.000,7.200,27.100,0.271,0.324,0.479,0.803
Austin Romine,436.000,5.700,12.800,0.300,0.344,0.437,0.781
Avain Rachal,445.000,9.700,22.700,0.239,0.332,0.332,0.663
Avelino Asprilla,428.000,5.600,17.800,0.242,0.299,0.361,0.659
Avery Barnes,419.000,5.000,20.800,0.296,0.339,0.405,0.744
Avery Romero,399.000,6.300,11.800,0.320,0.366,0.429,0.795
Avisail Garcia,524.000,3.800,21.600,0.281,0.313,0.356,0.669
B.A. Vollmuth,410.000,8.500,22.200,0.207,0.278,0.341,0.619
B.J. Boyd,521.000,9.200,18.000,0.226,0.300,0.319,0.619
B.J. Guinn,472.000,7.600,22.000,0.245,0.307,0.307,0.613
B.J. Szymanski,534.000,8.600,35.800,0.239,0.309,0.415,0.724
Balbino Fuenmayor,435.000,2.100,27.400,0.263,0.279,0.384,0.663
Beau Amaral,565.000,6.000,14.300,0.258,0.312,0.324,0.636
Beau Brooks,399.000,16.800,21.600,0.248,0.378,0.366,0.744
Ben Carhart,434.000,8.500,9.200,0.269,0.339,0.360,0.699
Ben Copeland,610.000,12.000,14.800,0.281,0.368,0.410,0.778
Ben Gamel,476.000,4.800,14.900,0.306,0.342,0.394,0.737
Ben Guez,438.000,4.100,21.700,0.275,0.320,0.483,0.802
Ben Johnson,427.000,8.400,37.900,0.213,0.289,0.341,0.631
Ben Jones,455.000,13.000,18.700,0.298,0.409,0.530,0.939
Ben Lasater,537.000,7.300,22.200,0.290,0.352,0.468,0.820
Ben McMahan,449.000,6.500,28.700,0.287,0.335,0.500,0.835
Ben Orloff,376.000,7.200,6.900,0.284,0.359,0.373,0.733
Ben Revere,374.000,7.200,8.300,0.379,0.433,0.497,0.930
Ben Thomas,405.000,4.900,17.500,0.243,0.281,0.325,0.606
Ben Turner,412.000,4.900,5.800,0.249,0.286,0.315,0.601
Bengie Gonzalez,460.000,7.600,15.400,0.236,0.300,0.278,0.579
Billy Burns,485.000,13.400,14.000,0.322,0.432,0.382,0.814
Billy Hamilton,610.000,8.500,21.800,0.278,0.340,0.360,0.700
Billy Nowlin,480.000,7.700,14.000,0.311,0.390,0.483,0.873
Billy Rowell,388.000,8.000,26.800,0.273,0.335,0.426,0.761
Blaine Prescott,405.000,5.400,21.000,0.235,0.290,0.354,0.644
Blake Dean,396.000,9.300,11.900,0.237,0.309,0.349,0.657
Blake Forsythe,434.000,12.900,28.300,0.235,0.334,0.395,0.729
Blake Kelso,575.000,8.500,9.200,0.293,0.357,0.365,0.722
Blake Perkins,572.000,12.600,20.600,0.255,0.354,0.378,0.732
Blake Rutherford,440.000,8.600,17.300,0.260,0.326,0.348,0.674
Blake Smith,493.000,9.900,27.400,0.281,0.363,0.488,0.852
Blake Swihart,378.000,6.900,18.000,0.262,0.307,0.395,0.702
Blake Tekotte,610.000,11.100,15.900,0.258,0.345,0.396,0.741
Bobby Borchering,588.000,9.200,21.800,0.270,0.341,0.423,0.763
Bobby Boyd,511.000,8.800,20.200,0.283,0.347,0.363,0.711
Bobby Bradley,465.000,12.000,31.800,0.269,0.361,0.529,0.890
Bobby Coyle Jr.,416.000,7.200,16.300,0.250,0.303,0.368,0.671
Bobby Crocker,470.000,8.300,23.200,0.268,0.347,0.369,0.716
Bobby Felmy,530.000,7.700,13.000,0.281,0.348,0.447,0.795
Bobby Ison,383.000,7.300,12.000,0.251,0.307,0.307,0.615
Bobby Kingsbury,389.000,10.800,17.200,0.275,0.359,0.451,0.810
Boss Moanaroa,448.000,17.200,25.200,0.262,0.391,0.365,0.756
Brad Chalk,439.000,10.500,12.500,0.275,0.354,0.340,0.694
Brad Coon,555.000,13.500,14.800,0.278,0.382,0.352,0.735
Brad Corley,575.000,3.100,19.000,0.281,0.323,0.438,0.762
Brad Glenn,447.000,9.200,22.400,0.271,0.342,0.477,0.820
Brad Miller,581.000,11.500,20.000,0.262,0.356,0.454,0.810
Brad Zunica,435.000,5.700,35.900,0.242,0.294,0.401,0.696
Bradley Suttle,429.000,10.500,21.700,0.271,0.348,0.456,0.804
Brady Everett,423.000,6.900,16.300,0.266,0.324,0.432,0.756
Brady Shoemaker,411.180,10.047,21.507,0.307,0.390,0.484,0.874
Braeden Schlehuber,388.000,4.600,15.200,0.199,0.265,0.308,0.573
Bralin Jackson,455.000,8.100,18.500,0.274,0.337,0.356,0.693
Brandon Allen,504.970,6.168,25.232,0.253,0.303,0.439,0.741
Brandon Brown,376.000,9.000,21.500,0.222,0.301,0.334,0.635
Brandon Decker,383.000,9.900,23.000,0.231,0.316,0.364,0.680
Brandon Downes,437.000,7.100,26.300,0.251,0.313,0.448,0.760
Brandon Drury,536.490,6.339,15.529,0.269,0.320,0.425,0.745
Brandon Jacobs,505.000,8.500,24.400,0.303,0.376,0.505,0.881
Brandon Laird,506.000,7.900,17.000,0.273,0.334,0.498,0.832
Brandon Lowe,449.000,13.400,17.100,0.248,0.357,0.343,0.700
Brandon Loy,566.000,8.000,21.000,0.240,0.301,0.315,0.616
Brandon Macias,560.000,10.400,13.000,0.288,0.388,0.423,0.811
Brandon Miller,442.000,7.700,30.500,0.243,0.308,0.456,0.763
Brandon Nimmo,480.000,14.800,27.300,0.273,0.397,0.359,0.756
Brandon Short,390.000,6.900,20.000,0.284,0.342,0.417,0.759
Brandon Snyder,501.000,8.800,21.400,0.283,0.354,0.422,0.776
Brandon Tripp,433.000,9.900,25.900,0.288,0.377,0.531,0.908
Brandon Wagner,439.000,13.000,26.400,0.277,0.380,0.392,0.773
Brandon Waring,503.000,8.500,31.000,0.270,0.346,0.467,0.813
Brantley Bell,458.000,7.200,22.500,0.248,0.311,0.308,0.620
Braxton Davidson,494.000,17.000,27.300,0.242,0.381,0.374,0.755
Breland Almadova,493.000,10.100,23.100,0.237,0.321,0.348,0.669
Brendan Rodgers,491.000,7.100,20.000,0.281,0.342,0.480,0.821
Brenden Webb,451.395,18.093,29.009,0.233,0.380,0.365,0.744
Brendon Davis,446.747,9.873,28.328,0.237,0.321,0.356,0.677
Brendon Sanger,516.000,11.400,17.200,0.230,0.329,0.325,0.654
Brennan Boesch,542.000,4.200,14.900,0.267,0.297,0.378,0.675
Brennan Morgan,439.000,8.200,18.900,0.230,0.310,0.317,0.627
Brent Brewer,577.000,8.000,29.500,0.251,0.315,0.390,0.705
Brent Keys,422.000,8.100,7.100,0.335,0.394,0.449,0.843
Brent Wyatt,577.000,11.600,12.300,0.242,0.360,0.335,0.694
Brett Krill,482.000,4.100,16.400,0.288,0.335,0.388,0.724
Brett Lawrie,423.000,9.700,16.500,0.274,0.348,0.454,0.802
Brett Martinez,400.000,9.000,21.800,0.226,0.299,0.291,0.590
Brett Newsome,392.000,8.700,22.700,0.267,0.335,0.426,0.761
Brett Nommensen,460.000,11.500,14.100,0.263,0.360,0.408,0.768
Brett Phillips,443.000,8.100,17.200,0.302,0.362,0.521,0.883
Brett Pill,589.000,6.500,13.800,0.269,0.321,0.416,0.737
Brett Pirtle,408.000,7.800,13.200,0.286,0.352,0.358,0.710
Brett Siddall,542.000,8.700,18.100,0.241,0.321,0.356,0.677
Brett Sullivan,501.000,4.800,14.000,0.283,0.314,0.438,0.752
Brett Tanos,486.000,14.600,17.500,0.285,0.401,0.445,0.846
Brett Vertigan,511.000,10.800,12.500,0.243,0.333,0.321,0.654
Breyvic Valera,562.000,7.100,5.300,0.309,0.358,0.367,0.725
Brian Adams,378.000,5.000,35.400,0.211,0.250,0.328,0.578
Brian Cavazos-Galvez,514.000,2.300,11.700,0.318,0.343,0.520,0.863
Brian Conley,414.000,16.900,16.900,0.270,0.393,0.401,0.794
Brian Fletcher,376.000,6.400,21.300,0.328,0.386,0.560,0.946
Brian Harrison,473.000,8.500,15.200,0.241,0.313,0.345,0.658
Brian Humphries,488.000,7.400,14.300,0.287,0.338,0.390,0.727
Brian Mundell,611.000,9.200,13.600,0.313,0.383,0.505,0.888
Brian O'Keefe,415.549,10.372,20.133,0.259,0.341,0.441,0.782
Brian Pellegrini,419.000,13.800,24.300,0.291,0.396,0.578,0.975
Brian Pettway,509.000,7.700,28.500,0.246,0.320,0.447,0.767
Brian Pointer,496.000,11.700,25.200,0.216,0.337,0.334,0.672
Brian Rike,519.000,11.900,31.000,0.247,0.346,0.387,0.732
Brian Ruggiano,423.000,8.000,21.000,0.255,0.324,0.394,0.718
Brian Schales,497.000,7.600,15.300,0.260,0.330,0.348,0.678
Brian Van Kirk,440.000,13.600,21.600,0.278,0.389,0.451,0.840
Brock Kjeldgaard,549.000,10.600,31.300,0.250,0.342,0.458,0.800
Bryan Anderson,432.000,9.700,15.300,0.302,0.377,0.417,0.794
Bryan Byrne,522.000,13.400,16.900,0.286,0.389,0.410,0.798
Bryan Haar,439.000,6.800,28.900,0.267,0.319,0.446,0.765
Bryan Pounds,417.000,13.700,20.900,0.284,0.399,0.402,0.801
Bryson Brigman,518.000,8.500,14.300,0.235,0.306,0.296,0.602
Bryson Myles,418.000,7.900,20.300,0.290,0.355,0.379,0.734
Bubba Starling,498.000,10.600,25.700,0.241,0.329,0.398,0.727
Byron Wiley,466.000,16.300,24.500,0.275,0.395,0.461,0.856
C.J. Henry,395.565,7.220,31.677,0.215,0.284,0.345,0.629
C.J. McElroy,558.000,7.200,15.100,0.267,0.342,0.298,0.640
Caleb Gindl,578.000,10.900,24.900,0.307,0.388,0.474,0.862
Caleb Ramsey,510.000,7.300,9.000,0.294,0.352,0.420,0.772
Calvin Anderson,423.000,7.800,26.000,0.274,0.347,0.446,0.793
Cam Gibson,448.000,9.400,24.600,0.221,0.302,0.330,0.632
Cam Maron,409.000,13.000,17.800,0.300,0.403,0.408,0.811
Cameron Blair,423.000,9.700,12.500,0.248,0.337,0.328,0.664
Cameron Flynn,396.000,8.100,15.700,0.308,0.369,0.443,0.812
Cameron Garfield,419.000,5.300,17.700,0.245,0.287,0.318,0.604
Cameron Kneeland,469.000,10.000,13.200,0.267,0.350,0.400,0.749
Cameron Maybin,445.000,11.200,26.100,0.304,0.387,0.457,0.844
Cameron Seitzer,488.000,11.300,17.000,0.307,0.386,0.429,0.815
Carl Thomore,437.000,9.800,28.400,0.225,0.314,0.302,0.616
Carlo Testa,535.000,11.200,23.400,0.275,0.365,0.466,0.831
Carlos Arroyo,378.000,7.700,8.700,0.271,0.327,0.329,0.657
Carlos Asuaje,383.000,10.700,14.600,0.305,0.391,0.542,0.933
Carlos Belen,479.000,6.700,27.600,0.222,0.278,0.394,0.672
Carlos Belonis,380.000,4.200,28.200,0.255,0.293,0.314,0.607
Carlos Correa,519.000,11.200,16.000,0.320,0.405,0.467,0.872
Carlos Franco,500.680,9.608,20.768,0.242,0.315,0.331,0.646
Carlos Herrera,548.000,3.800,21.000,0.238,0.270,0.357,0.627
Carlos Lopez,576.000,10.200,11.100,0.323,0.392,0.438,0.830
Carlos Mendez,496.000,5.800,10.100,0.308,0.345,0.407,0.752
Carlos Moncrief,552.000,13.800,28.600,0.233,0.346,0.422,0.768
Carlos Munoz,479.101,11.081,10.033,0.267,0.361,0.388,0.749
Carlos Penalver,526.000,6.300,19.000,0.211,0.263,0.270,0.533
Carlos Perez,429.000,8.600,17.200,0.256,0.320,0.355,0.675
Carlos Ramirez,435.000,7.600,23.400,0.228,0.297,0.375,0.672
Carlos Rivero,490.000,9.600,17.100,0.261,0.332,0.369,0.701
Carlos Tocci,501.630,4.692,17.340,0.227,0.280,0.289,0.570
Carlos Willoughby,567.000,11.100,15.200,0.240,0.341,0.308,0.650
Carmen Angelini,524.000,8.000,18.900,0.236,0.302,0.295,0.597
Carson Kelly,415.000,8.900,13.000,0.248,0.326,0.366,0.692
Casey Craig,409.000,8.100,16.900,0.288,0.347,0.391,0.737
Casey Frawley,546.000,8.100,17.800,0.262,0.332,0.430,0.762
Casey Haerther,471.000,6.200,15.300,0.307,0.352,0.432,0.784
Casey Hughston,441.000,6.800,34.900,0.190,0.251,0.335,0.586
Casey Rowlett,501.000,8.200,13.600,0.269,0.335,0.376,0.710
Casio Grider,483.000,9.300,21.700,0.230,0.324,0.345,0.670
Cedric Hunter,549.000,8.600,14.200,0.282,0.344,0.373,0.717
Cedric Mullins,559.000,6.600,18.100,0.273,0.321,0.464,0.785
Cesar Puello,469.000,6.800,17.500,0.292,0.375,0.359,0.734
Cesar Suarez,576.000,6.600,12.000,0.306,0.361,0.454,0.815
Chad Christensen,553.000,7.600,24.100,0.272,0.339,0.404,0.744
Chad Cregar,424.000,5.400,25.500,0.220,0.269,0.396,0.665
Chad Johnson,426.000,10.800,32.200,0.233,0.325,0.315,0.640
Chad Tracy,569.000,8.800,16.300,0.250,0.320,0.409,0.729
Chad Wright,591.000,7.400,11.500,0.256,0.323,0.331,0.654
Chadwin Stang,540.000,8.000,26.700,0.270,0.333,0.420,0.753
Chance Sisco,478.000,8.800,16.500,0.340,0.406,0.448,0.854
Charcer Burks,498.000,10.200,16.700,0.257,0.339,0.347,0.686
Charley Thurber,391.000,9.500,27.900,0.223,0.303,0.321,0.623
Charlie Culberson,558.000,5.900,19.700,0.246,0.303,0.306,0.610
Charlie Tilson,411.000,6.100,14.100,0.303,0.349,0.388,0.737
Chase Austin,439.000,9.600,16.900,0.268,0.350,0.445,0.795
Chase McDonald,413.000,10.700,28.100,0.279,0.363,0.481,0.844
Chase Simpson,463.000,13.600,24.200,0.247,0.352,0.404,0.756
Che-Hsuan Lin,415.000,10.400,14.900,0.249,0.342,0.359,0.701
Chevy Clarke,487.000,10.100,28.300,0.227,0.313,0.323,0.636
Chih-Hsien Chiang,384.000,5.700,21.100,0.262,0.310,0.392,0.701
Chris Bisson,482.000,11.000,22.000,0.261,0.345,0.325,0.670
Chris Carlson,431.240,9.445,13.136,0.284,0.358,0.431,0.789
Chris Carter,545.000,12.300,20.600,0.291,0.383,0.522,0.906
Chris Cates,479.000,9.400,8.600,0.252,0.330,0.284,0.614
Chris Chinea,411.000,5.400,15.600,0.312,0.350,0.423,0.772
Chris Curran,464.000,5.400,22.400,0.213,0.269,0.277,0.546
Chris Dennis,522.000,11.700,27.400,0.270,0.362,0.497,0.859
Chris Dominguez,608.000,5.800,21.900,0.272,0.326,0.456,0.782
Chris Edmondson,380.000,10.300,19.200,0.260,0.347,0.456,0.803
Chris Ellison,635.000,8.700,19.400,0.240,0.309,0.329,0.638
Chris Emanuele,415.000,9.400,21.900,0.266,0.341,0.408,0.748
Chris Garcia,412.000,14.300,17.000,0.305,0.405,0.511,0.917
Chris Gimenez,394.000,8.400,18.300,0.255,0.364,0.438,0.802
Chris Gittens,451.000,12.400,27.900,0.253,0.359,0.478,0.837
Chris Grayson,433.000,12.500,21.200,0.266,0.373,0.451,0.823
Chris Hatcher,401.000,8.500,25.900,0.242,0.312,0.438,0.750
Chris Hawkins,488.484,8.106,14.838,0.250,0.312,0.324,0.635
Chris Heisey,414.000,6.000,13.800,0.289,0.350,0.436,0.785
Chris Lofton,481.000,10.200,20.400,0.237,0.323,0.292,0.615
Chris Mariscal,412.211,9.260,25.947,0.266,0.342,0.351,0.693
Chris McFarland,438.000,5.500,20.100,0.284,0.331,0.388,0.719
Chris Nash,463.000,6.300,21.400,0.250,0.314,0.347,0.661
Chris Nelson,517.000,6.200,19.500,0.260,0.313,0.416,0.729
Chris Parmelee,501.000,9.200,27.300,0.239,0.313,0.414,0.727
Chris Turner,455.000,7.900,32.700,0.243,0.319,0.457,0.775
Christian Bethancourt,420.000,3.300,14.800,0.251,0.276,0.331,0.607
Christian Lara,452.915,10.125,18.749,0.276,0.352,0.392,0.744
Christian Lopes,552.000,7.200,14.100,0.245,0.308,0.336,0.644
Christian Lopez,377.000,4.800,18.800,0.217,0.259,0.275,0.535
Christian Marrero,505.000,10.700,17.600,0.273,0.355,0.431,0.786
Christian Reyes,401.000,5.000,23.200,0.273,0.312,0.406,0.718
Christian Vazquez,444.000,9.700,18.900,0.283,0.358,0.505,0.863
Christian Villanueva,529.000,7.000,16.300,0.278,0.338,0.465,0.803
Christian Yelich,521.000,10.600,19.600,0.312,0.388,0.484,0.871
Christopher Bostick,555.000,9.200,22.000,0.282,0.354,0.452,0.806
Christopher Vinyard,547.000,8.800,21.000,0.269,0.340,0.440,0.780
Chuck Taylor,472.000,12.700,15.700,0.285,0.380,0.370,0.750
Chuckie Caufield,592.000,6.900,13.500,0.285,0.352,0.410,0.762
Chuckie Jones,472.000,10.000,29.700,0.236,0.321,0.371,0.692
Chuckie Robinson,468.000,6.600,20.900,0.274,0.330,0.463,0.793
Cito Culver,511.472,11.707,22.432,0.223,0.317,0.311,0.627
Clark Eagan,482.000,5.800,12.000,0.261,0.317,0.388,0.704
Claudio Bautista,483.000,2.500,21.300,0.249,0.275,0.410,0.685
Clay Fuller,533.000,12.800,22.900,0.260,0.379,0.425,0.803
Clay Harris,567.000,13.200,19.200,0.255,0.362,0.410,0.771
Cliff Andersen,417.000,7.900,28.300,0.221,0.306,0.298,0.604
Clint Coulter,529.000,13.800,19.500,0.287,0.410,0.520,0.930
Clint Frazier,542.000,10.300,29.700,0.266,0.349,0.411,0.761
Clint Robinson,424.000,8.700,15.800,0.264,0.333,0.472,0.806
Cody Daily,480.000,9.600,15.000,0.281,0.358,0.390,0.748
Cody Hawn,438.000,11.600,19.400,0.294,0.382,0.406,0.787
Cody Johnson,514.000,7.800,34.400,0.252,0.307,0.479,0.786
Cody Puckett,538.000,7.200,25.700,0.263,0.325,0.459,0.783
Cody Regis,535.000,7.700,12.300,0.290,0.355,0.361,0.716
Cody Rogers,536.000,8.000,20.700,0.244,0.321,0.404,0.725
Cody Stanley,413.000,6.500,22.300,0.264,0.317,0.425,0.742
Cody Thomas,512.000,8.400,29.300,0.222,0.293,0.409,0.702
Cole Bauml,542.000,8.500,18.100,0.268,0.335,0.338,0.673
Cole Billingsley,523.000,8.400,18.500,0.282,0.349,0.367,0.715
Cole Frenzel,489.000,10.400,17.400,0.235,0.333,0.346,0.679
Cole Garner,512.000,4.900,24.800,0.302,0.353,0.519,0.872
Cole Miles,492.000,7.100,15.000,0.239,0.296,0.289,0.585
Colin Bray,560.000,8.400,19.500,0.308,0.370,0.410,0.781
Colin Walsh,425.000,14.100,15.300,0.314,0.419,0.530,0.949
Collin Woody,482.000,4.100,26.800,0.226,0.313,0.362,0.675
Concepcion Rodriguez,493.000,11.000,16.600,0.206,0.299,0.311,0.611
Conner Capel,492.000,8.700,22.000,0.246,0.316,0.478,0.795
Conner Crumbliss,634.000,19.900,14.500,0.271,0.421,0.371,0.792
Conner Hale,432.000,5.100,22.000,0.261,0.297,0.351,0.647
