Name,PA,BB%,K%,AVG,OBP,SLG,OPS
Ryan Scoma,507.000,7.500,15.800,0.254,0.310,0.358,0.668
Ryan Scott,477.000,8.000,25.200,0.242,0.325,0.410,0.735
Ryan Strieby,519.000,12.100,15.000,0.253,0.347,0.422,0.769
Ryan Wiegand,492.000,11.200,17.300,0.250,0.339,0.374,0.713
Ryan Wright,429.000,7.500,11.900,0.285,0.343,0.424,0.767
Ryder Jones,399.000,4.500,23.300,0.220,0.272,0.339,0.611
Rymer Liriano,519.000,9.100,18.300,0.319,0.383,0.499,0.882
Sam Carter,377.000,8.500,32.900,0.267,0.332,0.440,0.772
Sam Haggerty,405.000,11.100,25.900,0.230,0.323,0.320,0.642
Sam Hilliard,527.000,10.600,28.500,0.267,0.348,0.449,0.797
Sam McDonnell,419.000,10.500,20.000,0.247,0.329,0.358,0.687
Sam Mende,479.000,6.100,19.000,0.281,0.340,0.467,0.808
Samir Duenez,396.000,6.100,8.300,0.266,0.314,0.332,0.646
Sammie Starr,422.000,8.100,14.000,0.238,0.324,0.350,0.673
Samuel Sime,396.000,5.800,19.900,0.242,0.289,0.329,0.618
Sandber Pimentel,471.000,10.600,22.100,0.243,0.335,0.380,0.715
Sandro Fabian,504.000,2.000,17.500,0.277,0.297,0.408,0.705
Sandy Leon,385.000,13.000,20.500,0.249,0.345,0.335,0.680
Santiago Espinal,544.000,7.200,12.300,0.280,0.334,0.358,0.692
Santo De Leon,425.000,3.100,15.300,0.261,0.300,0.344,0.644
Scooter Gennett,526.000,5.900,17.300,0.309,0.354,0.463,0.817
Scott Campbell,469.000,14.500,11.900,0.279,0.390,0.397,0.787
Scott Cousins,472.000,8.100,19.500,0.292,0.358,0.480,0.838
Scott Robinson,541.000,3.700,20.500,0.309,0.349,0.415,0.764
Scott Savastano,481.000,11.600,15.400,0.300,0.390,0.404,0.795
Scott Schebler,560.000,5.400,17.700,0.260,0.312,0.388,0.700
Scott Sizemore,530.000,13.800,11.300,0.265,0.376,0.390,0.767
Scott Van Slyke,390.000,6.900,17.400,0.254,0.310,0.328,0.638
Sean Buckley,469.000,7.000,29.600,0.244,0.307,0.413,0.720
Sean Coughlin,437.000,12.800,16.700,0.240,0.341,0.430,0.771
Sean Coyle,466.000,12.900,23.600,0.247,0.362,0.464,0.826
Sean Jamieson,607.000,12.400,17.500,0.244,0.354,0.389,0.743
Sean Miller,388.000,2.600,14.400,0.263,0.287,0.366,0.653
Sean Ochinko,453.000,6.600,12.800,0.311,0.360,0.459,0.819
Sean Ratliff,509.000,6.100,25.700,0.265,0.312,0.451,0.763
Sean Shoffit,474.873,13.518,25.565,0.250,0.353,0.392,0.745
Sebastian Valle,485.000,5.600,20.800,0.255,0.298,0.430,0.728
Seby Zavala,404.000,8.700,26.700,0.253,0.330,0.381,0.711
Sergio Morales,456.000,11.000,28.900,0.224,0.311,0.339,0.651
Sergio Pedroza,410.000,17.800,22.200,0.281,0.437,0.562,0.998
Seth Fortenberry,595.000,12.300,23.000,0.255,0.358,0.424,0.782
Seth Harrison,456.000,8.100,20.600,0.256,0.325,0.366,0.691
Seth Johnston,497.000,6.400,16.100,0.275,0.329,0.413,0.741
Seth Mejias-Brean,545.000,10.100,15.200,0.305,0.381,0.453,0.834
Shane Hoelscher,413.000,12.800,12.800,0.328,0.422,0.529,0.951
Shane Jordan,532.000,12.200,11.300,0.253,0.355,0.299,0.654
Shane Keough,375.000,7.700,27.500,0.244,0.306,0.300,0.606
Shane Mardirosian,434.000,6.700,18.200,0.226,0.291,0.299,0.590
Shawn O'Malley,389.000,8.700,19.800,0.237,0.325,0.296,0.622
Shawn Payne,482.000,12.700,14.700,0.309,0.413,0.430,0.842
Shawn Pleffner,428.000,13.800,17.800,0.288,0.386,0.399,0.784
Shayne Houck,392.000,9.200,20.400,0.235,0.332,0.339,0.671
Shed Long,389.000,11.300,21.900,0.281,0.371,0.457,0.828
Sherman Johnson,478.000,13.800,18.200,0.261,0.371,0.372,0.743
