Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
Max George,468.338,10.672,19.918,0.250,0.357,0.414,0.771,0.000
Max Kuhn,543.000,10.100,19.500,0.241,0.320,0.376,0.697,0.000
Max McDowell,400.000,8.300,15.500,0.270,0.359,0.345,0.704,0.000
Max Moroff,506.000,12.800,20.200,0.233,0.335,0.345,0.680,1.000
Max Murphy,388.000,7.000,22.400,0.225,0.302,0.349,0.650,0.000
Max Ramirez,487.000,17.200,20.300,0.292,0.417,0.454,0.871,0.000
Max Stassi,465.000,9.700,30.300,0.229,0.310,0.380,0.690,0.000
Max Walla,409.000,11.500,26.200,0.234,0.325,0.341,0.666,0.000
Max White,400.000,9.300,38.300,0.229,0.311,0.363,0.674,0.000
Maximo Mendez,447.000,9.400,31.800,0.237,0.318,0.336,0.654,0.000
Maxx Tissenbaum,490.000,8.800,7.300,0.277,0.365,0.359,0.724,0.000
Meibrys Viloria,398.000,6.300,19.800,0.259,0.313,0.394,0.707,0.000
Mel Rojas Jr.,564.000,8.200,21.100,0.246,0.312,0.335,0.646,0.000
Melky Mesa,570.000,8.900,29.500,0.225,0.309,0.423,0.731,0.000
Melvin Mercedes,414.000,9.900,16.900,0.222,0.303,0.316,0.618,0.000
Michael A. Taylor,488.000,6.600,24.600,0.253,0.310,0.432,0.742,0.000
Michael Ahmed,515.000,11.800,21.600,0.264,0.359,0.365,0.724,0.000
Michael Almanzar,531.000,5.600,21.500,0.246,0.294,0.376,0.670,0.000
Michael Antonio,454.449,7.108,15.755,0.204,0.264,0.295,0.560,0.000
Michael Beltre,465.000,10.500,19.100,0.238,0.323,0.324,0.647,0.000
Michael Brantley,435.000,14.000,11.700,0.300,0.402,0.339,0.741,1.000
Michael Burgess,460.000,10.000,29.600,0.249,0.335,0.469,0.804,0.000
Michael Chavis,471.000,6.200,30.600,0.223,0.277,0.405,0.682,0.000
Michael Crouse,421.000,10.500,26.800,0.261,0.352,0.475,0.827,0.000
Michael DeJesus,466.000,12.700,12.900,0.246,0.343,0.305,0.647,0.000
Michael Durant,450.000,11.600,28.900,0.234,0.331,0.436,0.767,0.000
Michael Fisher,491.000,6.300,19.100,0.253,0.311,0.334,0.645,0.000
Michael Garza,439.000,4.100,18.000,0.282,0.312,0.391,0.703,0.000
Michael Gettys,529.000,5.300,30.600,0.231,0.271,0.346,0.617,0.000
Michael Griffin,586.000,3.400,16.000,0.263,0.304,0.378,0.681,0.000
Michael Harrington,406.000,7.400,24.100,0.228,0.286,0.349,0.635,0.000
Michael Hollander,410.000,7.100,16.600,0.242,0.307,0.315,0.623,0.000
Michael Hollimon,537.000,14.300,23.100,0.278,0.386,0.501,0.887,0.000
Michael Marseco,472.000,6.100,17.600,0.221,0.273,0.300,0.572,0.000
Michael Martinez,450.000,6.000,15.100,0.250,0.301,0.327,0.627,0.000
Michael Massaro,554.000,10.500,14.600,0.286,0.362,0.331,0.693,0.000
Michael McCormick,414.000,7.500,22.500,0.216,0.276,0.365,0.641,0.000
Michael McKennon,388.000,3.900,21.100,0.246,0.288,0.406,0.694,0.000
Michael McKenry,485.000,13.600,17.300,0.287,0.392,0.539,0.931,1.000
Michael Mee,379.000,15.300,10.300,0.299,0.406,0.362,0.768,0.000
Michael Mitchell,570.000,6.500,20.700,0.300,0.365,0.392,0.757,0.000
Michael O'Neill,553.000,7.600,24.100,0.256,0.333,0.384,0.717,0.000
Michael Ortiz,392.000,7.400,25.500,0.223,0.281,0.332,0.614,0.000
Michael Perez,388.000,16.000,23.700,0.238,0.362,0.414,0.776,0.000
Michael Ratterree,537.000,14.000,28.700,0.235,0.350,0.452,0.802,0.000
Michael Reed,539.000,13.200,20.000,0.286,0.385,0.400,0.785,0.000
Michael Richard,377.000,10.900,9.300,0.287,0.369,0.346,0.715,0.000
Michael Rockett,402.000,3.000,20.100,0.235,0.266,0.369,0.635,0.000
Michael Russell,458.000,9.800,14.000,0.293,0.381,0.449,0.830,0.000
Michael Saunders,416.000,11.500,24.800,0.240,0.329,0.345,0.674,1.000
Michael Sheridan,486.000,5.300,7.800,0.238,0.278,0.391,0.670,0.000
Michael Suchy,521.000,10.400,19.800,0.275,0.362,0.441,0.803,0.000
Michael Swinson,394.000,14.700,15.000,0.248,0.359,0.329,0.688,0.000
Michael Thompson,415.000,3.600,21.400,0.217,0.270,0.421,0.691,0.000
Micker Adolfo,473.000,6.600,31.500,0.264,0.331,0.453,0.784,0.000
Mickey Moniak,509.000,5.500,21.400,0.236,0.284,0.341,0.625,0.000
