Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS
Johan Limonta,460.000,9.600,16.300,0.590,0.319,0.382,0.477,0.858
John Andreoli,532.750,13.633,25.309,0.542,0.258,0.365,0.410,0.775
John Bowker,450.501,11.194,15.201,0.765,0.324,0.399,0.539,0.938
John Gall,435.387,8.454,12.757,0.673,0.285,0.349,0.443,0.792
John Hattig,402.301,9.229,26.784,0.339,0.272,0.341,0.407,0.749
John Lindsey,508.454,7.965,17.984,0.471,0.305,0.380,0.545,0.925
John Mayberry Jr.,513.536,6.728,19.185,0.350,0.265,0.322,0.441,0.763
John Nelson,476.000,8.800,32.100,0.270,0.215,0.291,0.411,0.702
John Raynor,503.000,8.300,24.100,0.350,0.257,0.327,0.360,0.687
John-Ford Griffin,551.000,10.700,26.100,0.410,0.252,0.330,0.488,0.818
Johnny Field,480.000,5.400,20.400,0.270,0.261,0.303,0.425,0.728
Johnny Giavotella,463.184,10.010,10.421,1.003,0.315,0.384,0.451,0.835
Johnny Monell,471.212,10.196,19.206,0.526,0.275,0.350,0.482,0.833
Jon Jay,564.000,6.000,11.300,0.530,0.281,0.338,0.394,0.732
Jon Kemmer,452.000,8.400,28.300,0.300,0.265,0.334,0.477,0.811
Jon Knott,534.187,9.747,20.028,0.485,0.266,0.344,0.515,0.858
Jon Singleton,475.980,15.514,23.525,0.661,0.227,0.347,0.444,0.793
Jon Weber,481.506,9.579,18.023,0.555,0.284,0.356,0.456,0.813
Jonathan Diaz,410.172,13.039,15.224,0.868,0.238,0.353,0.305,0.658
Jonathan Galvez,424.581,8.652,21.471,0.413,0.279,0.348,0.414,0.763
Jonathan Herrera,450.000,10.900,11.300,0.960,0.268,0.353,0.339,0.692
Jonathan Schuerholz,425.000,7.500,22.100,0.340,0.184,0.252,0.243,0.495
Jonathan Van Every,442.000,12.200,35.500,0.340,0.263,0.360,0.524,0.884
Jordan Brown,458.345,6.399,12.963,0.493,0.309,0.355,0.471,0.826
Jordan Danks,477.932,9.495,28.093,0.341,0.257,0.332,0.405,0.737
Jordan Lennerton,553.966,14.335,22.568,0.634,0.265,0.373,0.414,0.787
Jordan Pacheco,411.000,7.300,11.700,0.630,0.278,0.343,0.377,0.721
Jordan Parraz,498.018,8.148,16.992,0.480,0.277,0.356,0.425,0.781
Jordan Patterson,519.565,7.984,23.695,0.337,0.288,0.361,0.511,0.872
Jorge Bonifacio,558.000,9.100,23.300,0.390,0.277,0.351,0.461,0.812
Jorge Padilla,393.000,7.900,13.200,0.600,0.322,0.386,0.438,0.824
Jorge Vazquez,500.000,6.000,33.200,0.180,0.262,0.314,0.516,0.830
Jorge Velandia,497.266,5.640,18.133,0.311,0.271,0.314,0.386,0.699
Jose Constanza,449.796,8.062,10.960,0.747,0.308,0.364,0.362,0.727
Jose Iglesias,391.552,6.108,13.280,0.476,0.251,0.302,0.288,0.589
Jose Martinez,470.277,9.383,13.041,0.736,0.307,0.375,0.443,0.818
Jose Morales,411.000,7.300,10.700,0.680,0.311,0.366,0.399,0.765
Jose Offerman,403.000,13.400,14.900,0.900,0.238,0.337,0.349,0.686
Jose Peraza,521.000,3.300,8.600,0.380,0.293,0.316,0.378,0.694
Jose Pirela,581.000,6.400,12.700,0.500,0.305,0.351,0.441,0.792
Josh Anderson,552.739,5.602,11.929,0.479,0.293,0.341,0.372,0.713
Josh Barfield,484.000,4.300,14.500,0.300,0.257,0.284,0.365,0.649
