Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS
Yadiel Rivera,414.000,7.200,25.100,0.290,0.218,0.282,0.314,0.596
Yamaico Navarro,452.000,11.700,16.200,0.730,0.267,0.354,0.418,0.772
Yandy Diaz,416.000,11.300,16.800,0.670,0.325,0.399,0.461,0.860
Yangervis Solarte,572.535,6.998,9.867,0.749,0.282,0.331,0.404,0.736
Yonder Alonso,427.759,9.689,15.951,0.624,0.296,0.364,0.478,0.842
Yordany Ramirez,467.736,2.349,13.791,0.170,0.244,0.265,0.381,0.646
Yurendell de Caster,469.620,9.937,20.736,0.482,0.277,0.355,0.415,0.771
Zach Borenstein,414.872,9.541,29.243,0.327,0.276,0.344,0.510,0.853
Zach Lutz,466.000,11.600,21.900,0.530,0.293,0.377,0.479,0.856
Zach Shank,418.000,7.900,22.500,0.350,0.215,0.282,0.307,0.589
Zach Vincej,420.000,6.700,11.700,0.570,0.270,0.325,0.370,0.696
Zach Walters,521.000,3.800,25.700,0.150,0.253,0.286,0.517,0.803
Zack Cozart,610.000,6.600,17.500,0.370,0.255,0.310,0.416,0.726
Zoilo Almonte,454.000,6.400,23.100,0.280,0.261,0.311,0.437,0.748
