Name,H,1B,2B,HR,R,RBI,BB,IBB,SO,SB,AVG
Miguel Cabrera,180.182,110.455,36.364,32.545,92.091,109.909,74.727,16.273,105.545,2.091,0.318
Miguel Montero,132.333,88.000,28.000,15.333,56.667,82.000,58.667,9.000,108.000,0.333,0.270
Miguel Olivo,107.000,68.000,19.000,19.000,54.000,62.000,20.000,2.000,140.000,6.000,0.224
Miguel Tejada,175.250,126.750,32.250,15.000,79.500,76.000,28.500,4.500,60.500,4.000,0.290
Mike Aviles,128.000,87.000,28.000,13.000,57.000,60.000,23.000,0.000,77.000,14.000,0.250
Mike Cameron,127.333,70.333,30.000,23.333,78.333,72.667,65.333,1.667,152.667,14.000,0.245
Mike Jacobs,118.000,57.000,27.000,32.000,67.000,93.000,36.000,10.000,119.000,1.000,0.247
Mike Lowell,191.000,131.000,37.000,21.000,79.000,120.000,53.000,4.000,71.000,3.000,0.324
Mike Moustakas,138.250,85.250,29.500,23.000,64.750,70.500,37.000,3.250,94.250,2.000,0.258
Mike Napoli,123.333,66.333,28.000,27.667,77.000,87.000,64.333,2.333,172.667,3.333,0.245
Mike Trout,168.833,97.167,32.333,32.667,112.000,92.167,93.667,10.167,140.667,26.833,0.309
Milton Bradley,133.000,78.000,32.000,22.000,78.000,77.000,80.000,13.000,112.000,5.000,0.321
Mitch Moreland,118.000,70.800,25.600,21.200,58.600,67.000,41.600,4.000,111.800,0.800,0.250
Mookie Betts,184.667,112.000,43.333,24.333,105.000,97.333,57.333,3.667,80.333,24.333,0.291
Nate McLouth,144.000,86.667,34.667,19.333,91.667,66.667,62.000,4.333,92.667,24.000,0.263
Nate Schierholtz,116.000,60.000,32.000,21.000,56.000,68.000,29.000,3.000,94.000,6.000,0.251
Neil Walker,140.000,92.200,28.800,16.200,68.600,70.400,48.000,3.400,99.800,4.600,0.269
Nelson Cruz,152.857,87.000,29.000,36.000,84.143,96.857,53.714,5.429,139.571,6.714,0.276
Nick Castellanos,148.333,91.000,33.333,17.333,55.000,80.000,38.667,1.333,144.667,2.000,0.262
Nick Johnson,133.000,99.000,24.000,8.000,71.000,62.000,99.000,4.000,84.000,2.000,0.291
