Name,H,1B,2B,HR,R,RBI,BB,IBB,SO,SB,AVG
Dariel Alvarez,146.000,104.000,31.000,10.000,57.000,60.500,22.000,1.500,71.500,7.000,0.282
Darin Mastroianni,107.500,79.000,23.000,4.000,49.500,29.500,35.500,0.000,78.000,22.500,0.267
Darin Ruf,103.000,63.000,18.000,20.000,56.000,65.000,29.000,1.000,78.000,0.000,0.294
Darnell McDonald,134.000,90.667,29.000,10.667,68.000,62.333,44.333,2.667,98.333,27.333,0.286
Darnell Sweeney,113.000,75.667,24.333,8.667,60.667,42.667,42.000,2.333,108.333,20.667,0.257
Darren Ford,99.000,71.000,13.000,11.000,54.000,33.000,39.000,0.000,78.000,33.000,0.261
Darwin Barney,143.000,113.000,24.000,2.000,72.000,49.000,23.000,1.000,52.000,11.000,0.299
Daryle Ward,86.000,60.000,13.000,13.000,41.000,49.000,43.000,2.000,69.000,2.000,0.252
Dave Krynzel,83.000,55.000,17.000,7.000,49.000,40.000,42.000,2.000,107.000,23.000,0.231
Dave Sappelt,133.000,96.000,26.000,7.000,50.000,54.000,36.000,1.000,73.000,15.000,0.266
David Cooper,170.000,109.000,51.000,9.000,77.000,96.000,67.000,6.000,43.000,1.000,0.364
David Espinosa,76.000,49.000,17.000,5.000,43.000,49.000,34.000,0.000,93.000,12.000,0.204
David Freese,142.000,84.000,29.000,26.000,83.000,91.000,39.000,0.000,111.000,5.000,0.306
David Lough,136.333,95.000,20.000,10.000,73.667,64.000,33.667,3.333,62.000,18.000,0.291
David Murphy,114.000,80.000,20.000,9.000,50.000,47.000,41.000,2.000,71.000,8.000,0.280
David Newhan,98.000,68.000,21.000,6.000,42.000,48.000,33.000,1.000,73.000,4.000,0.275
David Washington,92.500,50.000,20.000,21.500,50.500,52.000,39.000,0.500,139.500,5.500,0.260
David Winfree,118.500,70.500,31.500,14.500,56.000,68.000,24.000,0.500,83.000,2.000,0.281
Dayan Viciedo,134.000,86.000,28.000,20.000,60.000,78.000,45.000,6.000,83.000,2.000,0.296
Dayron Varona,101.000,54.000,32.000,14.000,52.000,59.000,18.000,0.000,98.000,10.000,0.232
Dean Anna,132.000,98.000,24.667,5.667,74.333,50.000,60.333,0.333,59.000,4.667,0.296
Dee Brown,117.667,72.667,29.333,15.667,73.667,77.333,51.667,2.000,68.333,7.333,0.282
Dee Gordon,111.000,85.000,17.000,0.000,65.000,33.000,51.000,1.000,70.000,49.000,0.297
Deibinson Romero,111.000,70.000,31.000,8.000,50.000,45.000,60.000,0.000,88.000,0.000,0.265
Delwyn Young,139.333,80.000,42.000,15.333,78.000,82.000,36.667,2.667,106.000,2.333,0.285
Denard Span,130.000,100.000,20.000,3.000,59.000,55.000,40.000,1.000,90.000,25.000,0.267
Denis Phipps,92.000,56.000,23.000,12.000,48.000,47.000,40.500,0.500,101.000,9.000,0.234
Derek Fisher,109.000,61.000,26.000,21.000,63.000,66.000,35.000,1.000,74.000,16.000,0.318
Derrick Robinson,113.000,96.000,12.000,2.000,73.000,28.000,50.000,2.000,84.000,23.000,0.268
Derrik Gibson,91.000,58.000,16.000,5.000,53.000,47.000,34.000,0.000,87.000,10.000,0.242
Desmond Jennings,102.000,68.000,22.000,7.500,75.000,37.500,46.000,2.000,72.500,27.000,0.277
Destin Hood,127.000,80.000,29.000,15.000,61.000,80.000,37.000,0.000,113.000,11.000,0.267
Deven Marrero,84.000,67.500,12.000,3.500,39.500,28.000,27.500,0.000,88.500,11.000,0.227
Devin Mesoraco,126.000,73.000,36.000,15.000,60.000,71.000,52.000,6.000,83.000,1.000,0.289
Diego Goris,125.000,90.000,23.000,11.000,59.000,56.000,28.000,0.000,92.000,5.000,0.285
Dilson Herrera,116.000,73.000,24.000,15.000,71.000,64.000,38.000,0.000,87.000,7.000,0.274
Diory Hernandez,132.000,101.000,23.000,5.000,46.000,53.000,20.000,0.000,73.000,7.000,0.288
Dixon Machado,132.000,101.500,25.000,4.000,60.000,48.000,47.000,0.000,80.000,16.000,0.264
Domingo Santana,124.500,79.500,25.000,17.000,69.000,79.000,59.000,1.000,128.500,4.000,0.315
Dominic Smith,151.000,99.000,34.000,16.000,77.000,76.000,39.000,3.000,87.000,1.000,0.330
Domonic Brown,111.000,80.000,24.000,7.000,37.000,41.000,38.000,1.000,99.000,5.000,0.239
Don Kelly,121.500,87.000,22.000,7.000,59.000,47.500,37.500,1.000,47.500,14.500,0.303
Donovan Solano,134.000,96.000,31.000,5.500,54.000,57.500,24.500,1.000,69.500,1.500,0.300
Doug Bernier,104.333,75.000,17.667,8.333,55.667,47.667,49.667,1.000,84.667,4.333,0.270
Doug Clark,133.000,92.500,22.500,15.000,84.000,68.000,58.000,1.000,97.500,22.500,0.281
Doug Deeds,145.000,86.000,39.000,12.000,86.000,55.000,64.000,3.000,118.000,10.000,0.302
Drew Dosch,114.000,68.000,36.000,8.000,58.000,47.000,36.000,2.000,113.000,3.000,0.265
Drew Garcia,79.500,50.000,21.000,6.500,39.000,46.000,27.500,1.000,99.500,3.000,0.218
Drew Locke,116.000,68.000,31.000,14.000,56.000,66.000,39.000,2.500,80.000,7.500,0.271
Drew Meyer,83.000,63.000,14.000,2.000,37.000,28.000,27.000,0.000,91.000,9.000,0.228
Drew Robinson,120.000,66.000,24.000,20.000,76.000,67.000,66.000,0.000,148.000,17.000,0.257
Drew Stubbs,110.000,80.000,25.000,3.000,57.000,39.000,51.000,0.000,104.000,46.000,0.268
Drew Sutton,93.000,65.500,23.000,3.500,50.000,45.000,59.500,1.000,85.000,6.500,0.259
Drew T. Anderson,110.000,70.000,28.000,6.000,55.500,53.500,24.500,2.000,94.500,10.000,0.281
Dustin Ackley,115.000,79.000,27.000,6.000,66.000,59.000,54.000,2.000,71.000,3.000,0.261
Dustin Martin,120.333,82.333,22.000,10.333,64.000,63.000,48.333,1.667,112.667,15.667,0.259
Dustin Pedroia,129.000,91.000,30.000,5.000,55.000,50.000,48.000,0.000,27.000,1.000,0.305
Dwight Smith Jr.,108.000,78.000,21.000,8.000,56.000,46.000,47.000,2.000,71.000,8.000,0.273
Dylan Cozens,100.000,58.000,12.000,27.000,68.000,75.000,58.000,1.000,194.000,8.000,0.210
Earl Snyder,103.000,64.000,23.000,15.000,55.500,65.000,40.000,1.000,97.000,0.500,0.236
Ed Lucas,106.750,75.500,20.000,9.000,51.000,46.000,39.250,0.750,79.750,4.000,0.282
Ed Rogers,113.500,85.000,19.000,6.000,53.000,47.000,28.000,2.000,68.000,10.500,0.265
Eddy Garabito,122.000,92.000,24.000,5.000,55.000,46.000,47.000,0.000,54.000,19.000,0.257
Edgar Gonzalez,150.500,106.000,32.000,11.000,66.500,67.500,50.500,0.500,71.000,14.500,0.311
Eduardo Escobar,130.000,99.000,23.000,4.000,55.000,49.000,27.000,0.000,104.000,13.000,0.266
Eduardo Nunez,134.000,102.000,25.000,4.000,55.000,50.000,32.000,1.000,60.000,23.000,0.289
Edward Salcedo,77.000,45.000,21.000,10.000,50.000,44.000,40.000,0.000,97.000,13.000,0.212
Edwin Maysonet,110.500,80.500,24.000,4.500,58.000,36.500,35.500,0.500,70.000,3.000,0.280
Efren Navarro,147.600,106.200,29.800,8.600,73.400,67.400,52.000,1.400,86.400,3.600,0.298
Eider Torres,112.000,91.667,16.000,2.000,47.667,38.667,28.667,0.333,59.667,21.000,0.271
Elian Herrera,115.000,94.000,13.000,7.000,69.000,43.000,48.000,1.000,76.000,16.000,0.282
Elliot Johnson,111.000,73.000,22.333,10.333,59.000,50.333,37.667,1.667,111.667,20.333,0.262
Emilio Bonifacio,125.000,101.500,17.000,1.500,57.500,36.000,35.000,1.000,69.000,29.000,0.306
