,Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,WAR/PA
330,Kristopher Negron,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
332,L.J. Hoes,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0
334,Laynce Nix,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
336,Logan Schafer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
338,Lorenzo Cain,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
340,Luis Jimenez,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
342,Luis Sardinas,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
344,Luis Valbuena,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
346,Maikel Franco,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
348,Mark Canha,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0
350,Mark Trumbo,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
352,Mat Gamel,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0
354,Matt Carson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
356,Matt Dominguez,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
358,Matt Duffy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
360,Matt Kata,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
362,Matt McBride,1.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0
364,Matt Olson,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
366,Matt Szczur,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
368,Matt Tuiasosopo,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
370,Mauro Gomez,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
372,Max Ramirez,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
374,Micah Hoffpauir,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0
376,Michael Aubrey,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
378,Michael Choice,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
380,Michael Morse,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
382,Michael Taylor,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
384,Mike Baxter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0
386,Mike Fontenot,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
388,Mike Jacobs,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
390,Mike McCoy,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
392,Mikie Mahtook,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
394,Mitch Moreland,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
396,Nate Schierholtz,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0
398,Nelson Cruz,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
400,Nick Buss,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
402,Nick Evans,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
404,Nick Green,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
406,Nick Stavinoha,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
408,Nolan Reimold,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0
410,Omar Infante,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0
412,Orlando Arcia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
414,Oswaldo Arcia,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0
416,Patrick Kivlehan,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
418,Paul McAnulty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
420,Pedro Alvarez,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
422,Pete Kozma,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
424,Peter Bourjos,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
426,Preston Tucker,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
428,Rafael Ortega,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0
430,Rajai Davis,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
432,Ramon Flores,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0
434,Randal Grichuk,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0
436,Reggie Abercrombie,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
438,Reid Brignac,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
440,Rhys Hoskins,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0
442,Rick Ankiel,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0
444,Rob Brantly,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
446,Rob Refsnyder,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0
448,Robbie Grossman,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
450,Roger Bernadina,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0
452,Ronald Torreyes,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
454,Rusney Castillo,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
456,Rusty Ryal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
458,Ryan Goins,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
460,Ryan Ludwick,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0
462,Ryan Roberts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
464,Ryan Spilborghs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
466,Ryan Wheeler,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0
468,Sam Fuld,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
470,Scott Hairston,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
472,Scott Schebler,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
474,Scott Van Slyke,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
476,Sean Rodriguez,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0
478,Shane Peterson,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
480,Shawn Riggans,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
482,Shin-Soo Choo,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
484,Starling Marte,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
486,Stephen Piscotty,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
488,Steve Lombardozzi,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0
490,Steve Tolleson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
492,Steven Souza Jr.,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
494,Taylor Featherston,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
496,Taylor Motter,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
498,Terrmel Sledge,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0
500,Tim Beckham,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
502,Todd Cunningham,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
504,Todd Linden,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
506,Tommy Manzella,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
508,Tony Abreu,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0
510,Tony Kemp,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0
512,Travis Metcalf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
514,Trayce Thompson,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
516,Trent Oeltjen,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
518,Trey Mancini,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
520,Ty Kelly,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0
522,Tyler Flowers,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
524,Tyler Holt,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0
526,Victor Diaz,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
528,Wil Myers,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
530,Will Rhymes,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
532,Willy Garcia,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
534,Wilmer Flores,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
536,Wilson Valdez,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0
538,Xavier Avery,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
540,Xavier Paul,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
542,Yamaico Navarro,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
544,Yangervis Solarte,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
546,Zach Walters,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
548,Zoilo Almonte,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
