,Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,WAR/PA
118,Colby Rasmus,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,Cole Gillespie,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0
120,Collin Cowgill,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,Conor Gillaspie,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
122,Cord Phelps,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
123,Corey Patterson,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
124,Corey Seager,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,Cory Sullivan,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
126,Craig Gentry,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
127,Cristhian Adames,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0
128,Curtis Thigpen,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
129,Dan Johnson,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0
130,Dane Sardinha,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Daniel Castro,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0
132,Daniel Descalso,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
133,Daniel Nava,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
134,Daniel Robertson,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
135,Daniel Robertson,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
136,Danny Richar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
137,Danny Worth,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0
138,Daric Barton,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
139,Darin Mastroianni,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
140,Darin Ruf,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
141,Darnell McDonald,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
142,Darwin Barney,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
143,Daryle Ward,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
144,Dave Sappelt,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
145,David Cooper,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0
146,David Freese,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
147,David Lough,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
148,David Murphy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
149,David Newhan,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
150,Dayan Viciedo,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
151,Dee Gordon,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
152,Delwyn Young,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
153,Denard Span,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
154,Derek Fisher,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0
155,Derrick Robinson,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
156,Desmond Jennings,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
