Name,PA,BB%,K%,AVG,OBP,SLG,OPS,WAR/PA
Grant Psomas,509.000,10.400,23.400,0.238,0.330,0.441,0.771,0.000
Greg Creek,402.000,10.400,18.400,0.268,0.356,0.416,0.772,0.000
Greg Garcia,504.000,15.900,16.500,0.284,0.408,0.420,0.828,1.000
Greg Golson,470.000,7.200,27.700,0.282,0.333,0.434,0.767,0.000
Greg Halman,506.000,5.700,36.200,0.210,0.278,0.420,0.698,0.000
Greg Miclat,496.000,10.900,19.000,0.280,0.371,0.347,0.718,0.000
Greg Paiml,402.000,7.000,27.400,0.217,0.283,0.289,0.572,0.000
Gregory Porter,476.000,5.500,21.600,0.298,0.342,0.498,0.840,0.000
Guilder Rodriguez,376.000,8.200,11.200,0.266,0.335,0.297,0.632,0.000
Gunnar Heidt,485.000,9.300,28.500,0.229,0.303,0.370,0.673,0.000
Gustavo Molina,382.000,6.500,17.000,0.227,0.286,0.328,0.615,0.000
Hainley Statia,426.000,8.000,8.000,0.243,0.308,0.317,0.625,0.000
Hak-Ju Lee,534.000,9.600,19.100,0.261,0.336,0.360,0.696,0.000
Hank Conger,525.000,10.500,13.000,0.294,0.368,0.423,0.790,1.000
Hanser Alberto,384.000,4.200,10.700,0.213,0.253,0.287,0.540,0.000
Harold Castro,433.129,3.327,13.387,0.269,0.299,0.340,0.639,0.000
Harold Ramirez,457.273,5.947,14.452,0.287,0.338,0.381,0.719,0.000
Hector Gimenez,392.000,11.700,18.400,0.305,0.384,0.533,0.916,0.000
Hector Gomez,430.786,4.295,19.949,0.217,0.256,0.340,0.597,0.000
Heiker Meneses,386.000,6.200,18.700,0.259,0.317,0.300,0.617,0.000
Henry Wrigley,495.000,4.600,14.700,0.274,0.309,0.464,0.773,0.000
Hernan Iribarren,542.000,8.100,20.100,0.307,0.363,0.430,0.793,0.000
Hernan Perez,384.000,3.100,12.500,0.301,0.325,0.423,0.747,0.000
Humberto Arteaga,490.000,5.100,13.300,0.258,0.300,0.305,0.605,0.000
Hunter Cole,513.000,6.000,22.400,0.271,0.319,0.420,0.739,0.000
Hunter Dozier,523.000,8.600,28.900,0.213,0.281,0.349,0.631,0.000
Hunter Jones,464.000,7.800,18.500,0.222,0.302,0.351,0.653,0.000
Hunter Morris,571.000,7.000,20.500,0.303,0.357,0.563,0.920,0.000
Hunter Pence,592.000,10.100,18.400,0.283,0.357,0.533,0.890,1.000
Hunter Renfroe,463.000,7.100,24.200,0.259,0.313,0.425,0.738,1.000
Ian Miller,427.059,8.096,13.943,0.276,0.340,0.348,0.688,0.000
Ian Rice,394.000,15.200,22.800,0.230,0.353,0.423,0.776,0.000
Ian Stewart,528.000,9.500,19.500,0.268,0.351,0.452,0.803,1.000
Iggy Suarez,446.224,8.756,20.050,0.247,0.315,0.336,0.651,0.000
Irving Falu,472.742,7.876,8.095,0.268,0.326,0.335,0.661,1.000
Isaac Ballou,428.000,9.800,18.000,0.255,0.332,0.386,0.718,0.000
Isiah Kiner-Falefa,519.717,8.001,11.977,0.274,0.346,0.344,0.690,0.000
Issmael Salas,387.000,7.000,9.300,0.247,0.309,0.372,0.681,0.000
Ivan De Jesus Jr.,560.000,13.600,14.500,0.324,0.419,0.423,0.843,0.000
Ivan Ochoa,389.000,9.500,16.200,0.251,0.337,0.301,0.638,0.000
J.B. Shuck,435.000,10.600,12.900,0.298,0.372,0.360,0.732,0.000
J.C. Holt,438.002,9.050,16.548,0.298,0.365,0.390,0.755,0.000
J.D. Davis,475.798,8.174,25.119,0.273,0.337,0.495,0.831,0.000
J.P. Crawford,405.000,12.100,11.100,0.265,0.354,0.407,0.761,0.000
J.P. Sportman,537.362,5.780,18.188,0.271,0.318,0.399,0.717,0.000
J.R. House,423.000,7.600,10.400,0.325,0.376,0.475,0.851,0.000
J.T. Realmuto,419.529,9.204,15.090,0.269,0.340,0.407,0.747,1.000
J.T. Wise,488.000,12.700,25.600,0.278,0.377,0.445,0.822,0.000
JT Riddle,429.000,7.700,16.800,0.278,0.332,0.368,0.699,0.000
Jabari Henry,397.000,9.100,27.700,0.213,0.297,0.378,0.675,0.000
Jack Lopez,398.000,5.000,21.600,0.281,0.332,0.366,0.699,0.000
Jack Reinheimer,547.000,9.300,17.000,0.270,0.342,0.363,0.705,0.000
Jackson Melian,401.000,6.000,17.200,0.269,0.323,0.478,0.801,0.000
Jacob Butler,501.000,12.400,23.200,0.242,0.341,0.424,0.765,0.000
Jacob Hannemann,485.000,6.600,23.300,0.233,0.291,0.362,0.652,0.000
Jacob May,432.000,6.700,16.900,0.275,0.329,0.334,0.663,0.000
Jacob Nottingham,423.497,7.865,26.775,0.223,0.309,0.357,0.666,0.000
Jacob Scavuzzo,459.000,6.100,21.800,0.266,0.318,0.397,0.715,0.000
Jacob Schrader,375.000,7.500,30.100,0.232,0.294,0.390,0.684,0.000
Jacob Wilson,503.000,9.900,19.300,0.248,0.337,0.417,0.753,0.000
Jae-Hoon Ha,503.008,7.610,16.824,0.251,0.315,0.346,0.660,0.000
Jaff Decker,613.000,16.800,23.700,0.236,0.373,0.417,0.790,0.000
Jai Miller,473.000,11.600,26.800,0.261,0.354,0.438,0.792,0.000
Jaime Pedroza,435.207,9.581,17.765,0.271,0.346,0.383,0.729,0.000
Jake Bauers,581.000,12.600,15.300,0.274,0.370,0.420,0.789,0.000
Jake Blackwood,505.000,4.400,15.400,0.259,0.295,0.358,0.653,0.000
Jake Blalock,423.000,9.500,20.100,0.266,0.339,0.372,0.711,0.000
Jake Cave,563.000,7.600,17.400,0.269,0.330,0.345,0.674,0.000
Jake Elmore,460.009,12.202,13.145,0.274,0.368,0.347,0.715,0.000
Jake Fox,426.476,7.435,17.137,0.296,0.365,0.545,0.910,0.000
Jake Goebbert,446.379,11.414,15.721,0.285,0.375,0.477,0.851,0.000
Jake Hager,490.000,6.100,18.600,0.271,0.316,0.376,0.692,0.000
Jake Kahaulelio,463.000,9.300,16.600,0.257,0.338,0.422,0.759,0.000
Jake Lamb,439.000,11.400,22.600,0.318,0.399,0.551,0.949,1.000
Jake Lemmerman,449.000,11.800,20.900,0.233,0.347,0.378,0.725,0.000
Jake Shaffer,485.000,6.200,17.100,0.287,0.333,0.443,0.776,0.000
Jake Skole,386.000,10.400,26.700,0.216,0.297,0.327,0.624,0.000
Jake Smolinski,481.751,14.255,13.599,0.251,0.366,0.373,0.739,1.000
Jake Wald,452.880,7.338,22.862,0.220,0.299,0.330,0.629,0.000
James Beresford,413.000,8.500,12.800,0.266,0.330,0.314,0.644,0.000
James Darnell,426.000,10.300,15.000,0.265,0.348,0.408,0.756,0.000
James Jones,405.000,9.900,17.800,0.275,0.347,0.419,0.766,0.000
James McCann,486.000,6.200,17.500,0.277,0.328,0.404,0.731,1.000
James Ramsay,391.000,10.200,17.100,0.195,0.286,0.293,0.579,0.000
James Ramsey,416.000,12.700,26.000,0.251,0.356,0.424,0.780,0.000
James Rapoport,543.000,13.100,13.400,0.255,0.358,0.343,0.700,0.000
James Robbins,454.302,3.426,29.232,0.229,0.266,0.331,0.596,0.000
James Tomlin,442.765,9.420,14.067,0.299,0.369,0.398,0.767,0.000
Jamie D'Antona,521.000,10.400,16.900,0.310,0.382,0.484,0.866,0.000
Jamie Hoffmann,544.000,9.900,13.400,0.278,0.350,0.395,0.745,0.000
Jamie Johnson,548.324,13.957,12.258,0.272,0.375,0.357,0.732,0.000
Jamie Romak,505.000,10.900,17.400,0.251,0.343,0.460,0.803,0.000
Jamie Westbrook,443.322,4.758,11.680,0.263,0.309,0.370,0.680,0.000
Jared James,383.000,8.600,15.900,0.279,0.352,0.415,0.767,0.000
Jared King,455.000,6.200,16.700,0.214,0.262,0.286,0.548,0.000
Jared Mitchell,408.000,15.200,30.900,0.240,0.368,0.440,0.808,0.000
Jared Prince,427.000,4.400,12.600,0.234,0.301,0.364,0.665,0.000
Jarek Cunningham,470.376,7.183,25.592,0.216,0.286,0.368,0.654,0.000
Jarrett Hoffpauir,460.000,11.700,8.900,0.249,0.345,0.359,0.704,0.000
Jarrett Parker,477.346,11.145,27.990,0.258,0.362,0.445,0.806,1.000
Jarrod Saltalamacchia,377.000,14.600,18.800,0.230,0.353,0.380,0.733,1.000
Jason Bourgeois,460.000,8.000,14.300,0.277,0.338,0.394,0.732,0.000
Jason Delaney,471.993,13.293,17.723,0.281,0.379,0.410,0.789,0.000
Jason Donald,414.000,11.400,20.800,0.307,0.391,0.497,0.889,0.000
Jason Hagerty,409.000,12.500,17.600,0.266,0.368,0.417,0.785,0.000
Jason Krizan,473.745,10.591,8.370,0.284,0.358,0.420,0.778,0.000
Jason Martinson,522.000,8.600,24.300,0.236,0.305,0.358,0.663,0.000
Jason Pridie,503.000,6.200,18.500,0.230,0.281,0.304,0.585,0.000
Jason Rogers,549.000,10.700,15.700,0.270,0.346,0.468,0.814,1.000
Jason Van Kooten,447.000,7.800,22.800,0.271,0.339,0.497,0.837,0.000
Jason Vosler,531.000,10.000,22.600,0.241,0.343,0.429,0.772,0.000
Javier Betancourt,383.000,7.600,16.400,0.224,0.285,0.321,0.606,0.000
Javier Brito,528.000,14.800,17.000,0.327,0.433,0.477,0.910,0.000
Javier Castillo,435.000,9.700,19.500,0.289,0.354,0.448,0.802,0.000
Javier Colina,397.000,8.100,20.400,0.215,0.277,0.349,0.626,0.000
Javier Guzman,481.631,4.620,11.839,0.261,0.303,0.363,0.667,0.000
Jay Caligiuri,491.000,12.000,18.300,0.232,0.346,0.407,0.753,0.000
Jay Johnson,463.000,9.500,17.100,0.265,0.339,0.387,0.726,0.000
Jayce Boyd,477.000,10.900,14.000,0.293,0.382,0.414,0.796,0.000
Jaycob Brugman,566.000,11.000,15.700,0.260,0.343,0.382,0.725,0.000
Jayson Langfels,427.000,7.700,30.700,0.218,0.296,0.362,0.657,0.000
Jean Segura,451.000,6.000,13.500,0.304,0.358,0.413,0.771,1.000
Jed Lowrie,408.000,15.900,14.200,0.297,0.410,0.501,0.911,1.000
Jeff Baisley,442.000,6.600,19.000,0.257,0.308,0.408,0.716,0.000
Jeff Bianchi,499.000,7.800,17.000,0.259,0.320,0.333,0.654,0.000
Jeff Corsaletti,560.000,14.800,15.500,0.266,0.385,0.364,0.749,0.000
Jeff Dominguez,402.000,7.500,18.700,0.205,0.269,0.265,0.534,0.000
Jeff Fiorentino,474.118,10.279,15.522,0.279,0.355,0.430,0.785,0.000
Jeff Frazier,484.000,6.400,10.500,0.303,0.350,0.397,0.747,0.000
Jeff Kindel,556.827,10.861,16.256,0.277,0.361,0.388,0.749,0.000
Jeff Larish,556.000,15.600,19.400,0.267,0.390,0.515,0.906,0.000
Jeff Natale,524.000,16.800,6.900,0.270,0.417,0.381,0.798,0.000
Jefry Marte,487.943,9.062,14.895,0.255,0.327,0.370,0.697,0.000
Jemel Spearman,390.000,7.400,13.800,0.259,0.313,0.403,0.715,0.000
Jeremy Barfield,537.668,7.160,16.009,0.264,0.320,0.399,0.719,0.000
Jeremy Hazelbaker,450.357,8.651,24.534,0.270,0.343,0.459,0.803,1.000
